Date,BUFR_NAV,MAR_Existing_90_NAV,MAR_New_ECR_101_NAV,MAR_New_ECR_110_NAV,MAR_New_ECR_111_NAV,MAR_New_ECR_112_NAV,MAR_New_ECR_121_NAV,MAR_New_ECR_211_NAV,MAR_New_ECR_221_NAV,SPY_NAV,BUFR_Return,MAR_Existing_90_Return,MAR_New_ECR_101_Return,MAR_New_ECR_110_Return,MAR_New_ECR_111_Return,MAR_New_ECR_112_Return,MAR_New_ECR_121_Return,MAR_New_ECR_211_Return,MAR_New_ECR_221_Return,SPY_Return
2021-03-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,
2021-03-22,100.2820746132848,100.67567567567568,100.67567567567568,100.67567567567568,100.67567567567568,100.67567567567568,100.67567567567568,100.67567567567568,100.67567567567568,100.79850056485569,0.0028207461328479955,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.007985005648556864
2021-03-23,99.95450409463146,100.37162162162163,100.37162162162163,100.37162162162163,100.37162162162163,100.37162162162163,100.37162162162163,100.37162162162163,100.37162162162163,100.00513505186402,-0.0032664912439890337,-0.0030201342281879207,-0.0030201342281879207,-0.0030201342281879207,-0.0030201342281879207,-0.0030201342281879207,-0.0030201342281879207,-0.0030201342281879207,-0.0030201342281879207,-0.007870806694006416
2021-03-24,100.04094631483164,100.16216216216216,100.16216216216216,100.16216216216216,100.16216216216216,100.16216216216216,100.16216216216216,100.16216216216216,100.16216216216216,99.49676491732565,0.0008648156577151234,-0.0020868394479973684,-0.0020868394479973684,-0.0020868394479973684,-0.0020868394479973684,-0.0020868394479973684,-0.0020868394479973684,-0.0020868394479973684,-0.0020868394479973684,-0.0050834403080873836
2021-03-25,100.10236578707917,100.33783783783782,100.33783783783782,100.33783783783782,100.33783783783782,100.33783783783782,100.33783783783782,100.33783783783782,100.33783783783782,100.05648557050426,0.00061394333530429,0.0017539125742038753,0.0017539125742038753,0.0017539125742038753,0.0017539125742038753,0.0017539125742038753,0.0017539125742038753,0.0017539125742038753,0.0017539125742038753,0.005625516102394812
2021-03-26,100.72793448589623,101.28344594594594,101.28344594594594,101.28344594594594,101.28344594594594,101.28344594594594,101.28344594594594,101.28344594594594,101.28344594594594,101.66889185580774,0.006249289853425211,0.009424242424242557,0.009424242424242557,0.009424242424242557,0.009424242424242557,0.009424242424242557,0.009424242424242557,0.009424242424242557,0.009424242424242557,0.0161149602258146
2021-03-29,100.77343039126477,101.48648648648648,101.48648648648648,101.48648648648648,101.48648648648648,101.48648648648648,101.48648648648648,101.48648648648648,101.48648648648648,101.6175413371675,0.00045167118337863243,0.002004676466565991,0.002004676466565991,0.002004676466565991,0.002004676466565991,0.002004676466565991,0.002004676466565991,0.002004676466565991,0.002004676466565991,-0.000505076013940231
2021-03-30,100.54595086442217,101.21621621621621,101.21621621621621,101.21621621621621,101.21621621621621,101.21621621621621,101.21621621621621,101.21621621621621,101.21621621621621,101.34795111430626,-0.0022573363431153126,-0.0026631158455393544,-0.0026631158455393544,-0.0026631158455393544,-0.0026631158455393544,-0.0026631158455393544,-0.0026631158455393544,-0.0026631158455393544,-0.0026631158455393544,-0.002652989034311881
2021-03-31,100.54595086442217,101.55405405405405,101.55405405405405,101.55405405405405,101.55405405405405,101.55405405405405,101.55405405405405,101.55405405405405,101.55405405405405,101.75875526342814,0.0,0.0033377837116155273,0.0033377837116155273,0.0033377837116155273,0.0033377837116155273,0.0033377837116155273,0.0033377837116155273,0.0033377837116155273,0.0033377837116155273,0.004053403592328753
2021-04-01,101.00090991810735,102.22364864864866,102.22364864864866,102.22364864864866,102.22364864864866,102.22364864864866,102.22364864864866,102.22364864864866,102.22364864864866,102.85765636232927,0.00452488687782826,0.0065934797072524365,0.0065934797072524365,0.0065934797072524365,0.0065934797072524365,0.0065934797072524365,0.0065934797072524365,0.0065934797072524365,0.0065934797072524365,0.010799081573436453
2021-04-05,101.95632393084621,103.39898648648649,103.39898648648649,103.39898648648649,103.39898648648649,103.39898648648649,103.39898648648649,103.39898648648649,103.39898648648649,104.3339837732361,0.009459459459459474,0.011497709711747461,0.011497709711747461,0.011497709711747461,0.011497709711747461,0.011497709711747461,0.011497709711747461,0.011497709711747461,0.011497709711747461,0.014353111504954885
2021-04-06,101.8653321201092,103.10810810810808,103.10810810810808,103.10810810810808,103.10810810810808,103.10810810810808,103.10810810810808,103.10810810810808,103.10810810810808,104.2723631508678,-0.00089245872378374,-0.002813164695926962,-0.002813164695926962,-0.002813164695926962,-0.002813164695926962,-0.002813164695926962,-0.002813164695926962,-0.002813164695926962,-0.002813164695926962,-0.0005906093119402156
2021-04-07,101.88580527752502,103.34459459459457,103.34459459459457,103.34459459459457,103.34459459459457,103.34459459459457,103.34459459459457,103.34459459459457,103.34459459459457,104.39303686967236,0.0002009825815094679,0.002293577981651307,0.002293577981651307,0.002293577981651307,0.002293577981651307,0.002293577981651307,0.002293577981651307,0.002293577981651307,0.002293577981651307,0.0011572934108143862
2021-04-08,101.97907188353048,103.58479729729729,103.58479729729729,103.58479729729729,103.58479729729729,103.58479729729729,103.58479729729729,103.58479729729729,103.58479729729729,104.88856937455067,0.0009154033356404412,0.0023242889833279268,0.0023242889833279268,0.0023242889833279268,0.0023242889833279268,0.0023242889833279268,0.0023242889833279268,0.0023242889833279268,0.0023242889833279268,0.004746796527214325
2021-04-09,102.16151046405825,104.04898648648646,104.04898648648646,104.04898648648646,104.04898648648646,104.04898648648646,104.04898648648646,104.04898648648646,104.04898648648646,105.65112457635819,0.0017889805933528624,0.004481248226580137,0.004481248226580137,0.004481248226580137,0.004481248226580137,0.004481248226580137,0.004481248226580137,0.004481248226580137,0.004481248226580137,0.007270145892489754
2021-04-12,102.16333030027297,104.05405405405403,104.05405405405403,104.05405405405403,104.05405405405403,104.05405405405403,104.05405405405403,104.05405405405403,104.05405405405403,105.68963746533836,1.7813325257742818e-05,4.870367063336545e-05,4.870367063336545e-05,4.870367063336545e-05,4.870367063336545e-05,4.870367063336545e-05,4.870367063336545e-05,4.870367063336545e-05,4.870367063336545e-05,0.0003645289071423363
