Date,APR_ECR_V2_cap_balanced_NAV,APR_ECR_V2_cap_dominant_NAV,APR_ECR_V2_cap_moderate_NAV,APR_ECR_V2_equal_NAV,APR_ECR_V2_protection_NAV,APR_Existing_90_NAV,BUFR_NAV,FEB_ECR_V2_cap_balanced_NAV,FEB_ECR_V2_cap_dominant_NAV,FEB_ECR_V2_cap_moderate_NAV,FEB_ECR_V2_equal_NAV,FEB_ECR_V2_protection_NAV,FEB_Existing_90_NAV,JAN_ECR_V2_cap_balanced_NAV,JAN_ECR_V2_cap_dominant_NAV,JAN_ECR_V2_cap_moderate_NAV,JAN_ECR_V2_equal_NAV,JAN_ECR_V2_protection_NAV,JAN_Existing_90_NAV,MAR_ECR_V2_cap_balanced_NAV,MAR_ECR_V2_cap_dominant_NAV,MAR_ECR_V2_cap_moderate_NAV,MAR_ECR_V2_equal_NAV,MAR_ECR_V2_protection_NAV,MAR_Existing_90_NAV,SPY_NAV,APR_ECR_V2_cap_balanced_Return,APR_ECR_V2_cap_dominant_Return,APR_ECR_V2_cap_moderate_Return,APR_ECR_V2_equal_Return,APR_ECR_V2_protection_Return,APR_Existing_90_Return,BUFR_Return,FEB_ECR_V2_cap_balanced_Return,FEB_ECR_V2_cap_dominant_Return,FEB_ECR_V2_cap_moderate_Return,FEB_ECR_V2_equal_Return,FEB_ECR_V2_protection_Return,FEB_Existing_90_Return,JAN_ECR_V2_cap_balanced_Return,JAN_ECR_V2_cap_dominant_Return,JAN_ECR_V2_cap_moderate_Return,JAN_ECR_V2_equal_Return,JAN_ECR_V2_protection_Return,JAN_Existing_90_Return,MAR_ECR_V2_cap_balanced_Return,MAR_ECR_V2_cap_dominant_Return,MAR_ECR_V2_cap_moderate_Return,MAR_ECR_V2_equal_Return,MAR_ECR_V2_protection_Return,MAR_Existing_90_Return,SPY_Return
2023-01-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,100.61664953751284,100.61664953751284,100.61664953751284,100.61664953751284,100.61664953751284,100.61664953751284,100.27100271002709,100.61919504643964,100.61919504643964,100.61919504643964,100.61919504643964,100.61919504643964,100.61919504643964,100.73461891643709,100.73461891643709,100.73461891643709,100.73461891643709,100.73461891643709,100.73461891643709,100.576,100.576,100.576,100.576,100.576,100.576,100.77201827635103,0.006166495375128367,0.006166495375128367,0.006166495375128367,0.006166495375128367,0.006166495375128367,0.006166495375128367,0.0027100271002709064,0.006191950464396356,0.006191950464396356,0.006191950464396356,0.006191950464396356,0.006191950464396356,0.006191950464396356,0.007346189164370909,0.007346189164370909,0.007346189164370909,0.007346189164370909,0.007346189164370909,0.007346189164370909,0.005759999999999987,0.005759999999999987,0.005759999999999987,0.005759999999999987,0.005759999999999987,0.005759999999999987,0.007720182763510275
2023-01-05,99.93148338472079,99.93148338472079,99.93148338472079,99.93148338472079,99.93148338472079,99.93148338472079,99.72899728997288,99.94370954123278,99.94370954123278,99.94370954123278,99.94370954123278,99.94370954123278,99.94370954123278,99.93878175696356,99.93878175696356,99.93878175696356,99.93878175696356,99.93878175696356,99.93878175696356,99.648,99.648,99.648,99.648,99.648,99.648,99.62186859933827,-0.006809669731018042,-0.006809669731018042,-0.006809669731018042,-0.006809669731018042,-0.006809669731018042,-0.006809669731018042,-0.005405405405405461,-0.006713286713286637,-0.006713286713286637,-0.006713286713286637,-0.006713286713286637,-0.006713286713286637,-0.006713286713286637,-0.007900334244910323,-0.007900334244910323,-0.007900334244910323,-0.007900334244910323,-0.007900334244910323,-0.007900334244910323,-0.00922685332484885,-0.00922685332484885,-0.00922685332484885,-0.00922685332484885,-0.00922685332484885,-0.00922685332484885,-0.011413383364602847
2023-01-06,101.26755738266529,101.26755738266529,101.26755738266529,101.26755738266529,101.26755738266529,101.26755738266529,101.08401084010839,101.21024486349566,101.21024486349566,101.21024486349566,101.21024486349566,101.21024486349566,101.21024486349566,101.4692378328742,101.4692378328742,101.4692378328742,101.4692378328742,101.4692378328742,101.4692378328742,101.40799999999999,101.40799999999999,101.40799999999999,101.40799999999999,101.40799999999999,101.40799999999999,101.90641247833622,0.013369900582790528,0.013369900582790528,0.013369900582790528,0.013369900582790528,0.013369900582790528,0.013369900582790528,0.013586956521739246,0.012672486623486412,0.012672486623486412,0.012672486623486412,0.012672486623486412,0.012672486623486412,0.012672486623486412,0.015313935681470214,0.015313935681470214,0.015313935681470214,0.015313935681470214,0.015313935681470214,0.015313935681470214,0.01766217084136157,0.01766217084136157,0.01766217084136157,0.01766217084136157,0.01766217084136157,0.01766217084136157,0.0229321524592756
2023-01-09,101.26755738266529,101.26755738266529,101.26755738266529,101.26755738266529,101.26755738266529,101.26755738266529,101.30984643179765,101.21024486349566,101.21024486349566,101.21024486349566,101.21024486349566,101.21024486349566,101.21024486349566,101.49984695439241,101.49984695439241,101.49984695439241,101.49984695439241,101.49984695439241,101.49984695439241,101.37599999999998,101.37599999999998,101.37599999999998,101.37599999999998,101.37599999999998,101.37599999999998,101.84864240323512,0.0,0.0,0.0,0.0,0.0,0.0,0.0022341376228776078,0.0,0.0,0.0,0.0,0.0,0.0,0.0003016591251885359,0.0003016591251885359,0.0003016591251885359,0.0003016591251885359,0.0003016591251885359,0.0003016591251885359,-0.0003155569580309825,-0.0003155569580309825,-0.0003155569580309825,-0.0003155569580309825,-0.0003155569580309825,-0.0003155569580309825,-0.0005668934240363743
2023-01-10,101.74717368961971,101.74717368961971,101.74717368961971,101.74717368961971,101.74717368961971,101.74717368961971,101.85185185185186,101.66056853363357,101.66056853363357,101.66056853363357,101.66056853363357,101.66056853363357,101.66056853363357,102.02020202020203,102.02020202020203,102.02020202020203,102.02020202020203,102.02020202020203,102.02020202020203,101.91999999999999,101.91999999999999,101.91999999999999,101.91999999999999,101.91999999999999,101.91999999999999,102.56289060448506,0.004736129905277275,0.004736129905277275,0.004736129905277275,0.004736129905277275,0.004736129905277275,0.004736129905277275,0.005349977708426268,0.004449388209121219,0.004449388209121219,0.004449388209121219,0.004449388209121219,0.004449388209121219,0.004449388209121219,0.00512665862484929,0.00512665862484929,0.00512665862484929,0.00512665862484929,0.00512665862484929,0.00512665862484929,0.005366161616161769,0.005366161616161769,0.005366161616161769,0.005366161616161769,0.005366161616161769,0.005366161616161769,0.007012839684422234
2023-01-11,102.4665981500514,102.4665981500514,102.4665981500514,102.4665981500514,102.4665981500514,102.4665981500514,102.5293586269196,102.1671826625387,102.1671826625387,102.1671826625387,102.1671826625387,102.1671826625387,102.1671826625387,102.60177532904808,102.60177532904808,102.60177532904808,102.60177532904808,102.60177532904808,102.60177532904808,102.52799999999998,102.52799999999998,102.52799999999998,102.52799999999998,102.52799999999998,102.52799999999998,103.86009138175515,0.007070707070707449,0.007070707070707449,0.007070707070707449,0.007070707070707449,0.007070707070707449,0.007070707070707449,0.006651884700665134,0.004983388704318914,0.004983388704318914,0.004983388704318914,0.004983388704318914,0.004983388704318914,0.004983388704318914,0.00570057005700586,0.00570057005700586,0.00570057005700586,0.00570057005700586,0.00570057005700586,0.00570057005700586,0.005965463108320135,0.005965463108320135,0.005965463108320135,0.005965463108320135,0.005965463108320135,0.005965463108320135,0.012647857033130094
2023-01-12,102.7406646111682,102.7406646111682,102.7406646111682,102.7406646111682,102.7406646111682,102.7406646111682,103.02619692863595,102.53307064452576,102.53307064452576,102.53307064452576,102.53307064452576,102.53307064452576,102.53307064452576,103.18334863789411,103.18334863789411,103.18334863789411,103.18334863789411,103.18334863789411,103.18334863789411,102.87999999999997,102.87999999999997,102.87999999999997,102.87999999999997,102.87999999999997,102.87999999999997,104.2382227824169,0.0026746907388830454,0.0026746907388830454,0.0026746907388830454,0.0026746907388830454,0.0026746907388830454,0.0026746907388830454,0.004845814977973539,0.003581267217630968,0.003581267217630968,0.003581267217630968,0.003581267217630968,0.003581267217630968,0.003581267217630968,0.005668257756563211,0.005668257756563211,0.005668257756563211,0.005668257756563211,0.005668257756563211,0.005668257756563211,0.0034332084893882175,0.0034332084893882175,0.0034332084893882175,0.0034332084893882175,0.0034332084893882175,0.0034332084893882175,0.00364077669902918
2023-01-13,102.91195614936622,102.91195614936622,102.91195614936622,102.91195614936622,102.91195614936622,102.91195614936622,103.07136404697381,102.7019420208275,102.7019420208275,102.7019420208275,102.7019420208275,102.7019420208275,102.7019420208275,103.39761248852159,103.39761248852159,103.39761248852159,103.39761248852159,103.39761248852159,103.39761248852159,103.03999999999998,103.03999999999998,103.03999999999998,103.03999999999998,103.03999999999998,103.03999999999998,104.6426133081246,0.0016672224074691933,0.0016672224074691933,0.0016672224074691933,0.0016672224074691933,0.0016672224074691933,0.0016672224074691933,0.00043840420868046515,0.0016469942355203937,0.0016469942355203937,0.0016469942355203937,0.0016469942355203937,0.0016469942355203937,0.0016469942355203937,0.0020765351527736176,0.0020765351527736176,0.0020765351527736176,0.0020765351527736176,0.0020765351527736176,0.0020765351527736176,0.0015552099533437946,0.0015552099533437946,0.0015552099533437946,0.0015552099533437946,0.0015552099533437946,0.0015552099533437946,0.003879484079000628
2023-01-17,102.87769784172663,102.87769784172663,102.87769784172663,102.87769784172663,102.87769784172663,102.87769784172663,103.2520325203252,102.73008725021113,102.73008725021113,102.73008725021113,102.73008725021113,102.73008725021113,102.73008725021113,103.48943985307623,103.48943985307623,103.48943985307623,103.48943985307623,103.48943985307623,103.48943985307623,103.19999999999997,103.19999999999997,103.19999999999997,103.19999999999997,103.19999999999997,103.19999999999997,104.45092169528911,-0.00033288948069232216,-0.00033288948069232216,-0.00033288948069232216,-0.00033288948069232216,-0.00033288948069232216,-0.00033288948069232216,0.0017528483786151128,0.00027404768429706294,0.00027404768429706294,0.00027404768429706294,0.00027404768429706294,0.00027404768429706294,0.00027404768429706294,0.000888099467140302,0.000888099467140302,0.000888099467140302,0.000888099467140302,0.000888099467140302,0.000888099467140302,0.0015527950310558758,0.0015527950310558758,0.0015527950310558758,0.0015527950310558758,0.0015527950310558758,0.0015527950310558758,-0.0018318695106652738
2023-01-18,102.08975676601577,102.08975676601577,102.08975676601577,102.08975676601577,102.08975676601577,102.08975676601577,102.07768744354111,102.13903743315514,102.13903743315514,102.13903743315514,102.13903743315514,102.13903743315514,102.13903743315514,102.90786654423019,102.90786654423019,102.90786654423019,102.90786654423019,102.90786654423019,102.90786654423019,102.33599999999996,102.33599999999996,102.33599999999996,102.33599999999996,102.33599999999996,102.33599999999996,102.80184864240324,-0.007659007659007622,-0.007659007659007622,-0.007659007659007622,-0.007659007659007622,-0.007659007659007622,-0.007659007659007622,-0.011373578302712128,-0.005753424657534034,-0.005753424657534034,-0.005753424657534034,-0.005753424657534034,-0.005753424657534034,-0.005753424657534034,-0.005619639160011958,-0.005619639160011958,-0.005619639160011958,-0.005619639160011958,-0.005619639160011958,-0.005619639160011958,-0.008372093023256033,-0.008372093023256033,-0.008372093023256033,-0.008372093023256033,-0.008372093023256033,-0.008372093023256033,-0.01578801820147313
2023-01-19,101.91846522781776,101.91846522781776,101.91846522781776,101.91846522781776,101.91846522781776,101.91846522781776,101.76151761517616,101.99831128623704,101.99831128623704,101.99831128623704,101.99831128623704,101.99831128623704,101.99831128623704,102.47933884297522,102.47933884297522,102.47933884297522,102.47933884297522,102.47933884297522,102.47933884297522,101.95199999999997,101.95199999999997,101.95199999999997,101.95199999999997,101.95199999999997,101.95199999999997,102.05346357859358,-0.001677852348993203,-0.001677852348993203,-0.001677852348993203,-0.001677852348993203,-0.001677852348993203,-0.001677852348993203,-0.00309734513274329,-0.0013777900248002073,-0.0013777900248002073,-0.0013777900248002073,-0.0013777900248002073,-0.0013777900248002073,-0.0013777900248002073,-0.0041641879833431705,-0.0041641879833431705,-0.0041641879833431705,-0.0041641879833431705,-0.0041641879833431705,-0.0041641879833431705,-0.0037523452157597337,-0.0037523452157597337,-0.0037523452157597337,-0.0037523452157597337,-0.0037523452157597337,-0.0037523452157597337,-0.007279879434979097
2023-01-20,102.6378896882494,102.6378896882494,102.6378896882494,102.6378896882494,102.6378896882494,102.6378896882494,102.98102981029811,102.58936110329306,102.58936110329306,102.58936110329306,102.58936110329306,102.58936110329306,102.58936110329306,103.82614018977657,103.82614018977657,103.82614018977657,103.82614018977657,103.82614018977657,103.82614018977657,102.84799999999998,102.84799999999998,102.84799999999998,102.84799999999998,102.84799999999998,102.84799999999998,103.95462423192059,0.007058823529411562,0.007058823529411562,0.007058823529411562,0.007058823529411562,0.007058823529411562,0.007058823529411562,0.011984021304926706,0.005794701986755024,0.005794701986755024,0.005794701986755024,0.005794701986755024,0.005794701986755024,0.005794701986755024,0.013142174432496878,0.013142174432496878,0.013142174432496878,0.013142174432496878,0.013142174432496878,0.013142174432496878,0.00878844946641566,0.00878844946641566,0.00878844946641566,0.00878844946641566,0.00878844946641566,0.00878844946641566,0.01862906545903642
2023-01-23,103.28879753340186,103.28879753340186,103.28879753340186,103.28879753340186,103.28879753340186,103.28879753340186,103.83920505871727,103.06783000281456,103.06783000281456,103.06783000281456,103.06783000281456,103.06783000281456,103.06783000281456,104.49954086317726,104.49954086317726,104.49954086317726,104.49954086317726,104.49954086317726,104.49954086317726,103.61599999999997,103.61599999999997,103.61599999999997,103.61599999999997,103.61599999999997,103.61599999999997,105.20193267160339,0.006341789052069613,0.006341789052069613,0.006341789052069613,0.006341789052069613,0.006341789052069613,0.006341789052069613,0.008333333333333304,0.004663923182441465,0.004663923182441465,0.004663923182441465,0.004663923182441465,0.004663923182441465,0.004663923182441465,0.006485849056603987,0.006485849056603987,0.006485849056603987,0.006485849056603987,0.006485849056603987,0.006485849056603987,0.0074673304293713105,0.0074673304293713105,0.0074673304293713105,0.0074673304293713105,0.0074673304293713105,0.0074673304293713105,0.011998585429928266
2023-01-24,103.49434737923949,103.49434737923949,103.49434737923949,103.49434737923949,103.49434737923949,103.49434737923949,103.65853658536585,103.18041092034905,103.18041092034905,103.18041092034905,103.18041092034905,103.18041092034905,103.18041092034905,104.40771349862258,104.40771349862258,104.40771349862258,104.40771349862258,104.40771349862258,104.40771349862258,103.77599999999998,103.77599999999998,103.77599999999998,103.77599999999998,103.77599999999998,103.77599999999998,105.08901843390576,0.0019900497512439497,0.0019900497512439497,0.0019900497512439497,0.0019900497512439497,0.0019900497512439497,0.0019900497512439497,-0.0017398869073511625,0.0010922992900055384,0.0010922992900055384,0.0010922992900055384,0.0010922992900055384,0.0010922992900055384,0.0010922992900055384,-0.0008787346221444947,-0.0008787346221444947,-0.0008787346221444947,-0.0008787346221444947,-0.0008787346221444947,-0.0008787346221444947,0.001544163063619708,0.001544163063619708,0.001544163063619708,0.001544163063619708,0.001544163063619708,0.001544163063619708,-0.0010733095374786394
