Date,Captured At (ET),Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%),ECR
6/22/2026,2026-06-22 14:29,DAPR,Deep Buffer,April,40.8,2.07,744.98,4.91,298,,8.94,,,25.509999999999998,,-7.76,,,,11.19,24.15,1.8393103529126433
6/22/2026,2026-06-22 14:29,FAPR,Buffer,April,46.59,2.92,744.98,4.91,298,,11.07,,,10.55,,-3.66,,,,14.31,9.15,1.96154883639656
6/22/2026,2026-06-22 14:29,GAPR,Moderate Buffer,April,41.56,2.26,744.98,4.91,298,,9.04,,,15.939999999999998,,-3.03,,,,11.49,14.150000000000002,2.1271601703156082
6/22/2026,2026-06-22 14:29,QCAP,Conservative Buffer,April,24.87,3.2199999999999998,737.49,13.66,298,,8.61,,,25.629999999999995,,-3.9900000000000007,,,,12.1,19.1,2.2145711656327842
6/22/2026,2026-06-22 14:29,DAUG,Deep Buffer,August,46.7,9.27,744.98,15.78,60,,1.69,,,25.69,,-13.849999999999998,,,,11.12,24.14,0.40732591489088393
6/22/2026,2026-06-22 14:29,FAUG,Buffer,August,56.3,11.07,744.98,15.78,60,,2.13,,,11.52,,-10.74,,,,13.43,9.14,0.2952852792805085
6/22/2026,2026-06-22 14:29,GAUG,Moderate Buffer,August,41.3,9.22,744.98,15.78,60,,1.66,,,17.36,,-9.23,,,,11.03,14.14,0.4832561744860234
6/22/2026,2026-06-22 14:29,QMAG,Moderate Buffer,August,25.3,11.38,737.49,27.74,60,,1.48,,,22.42,,-11.04,,,,13.019999999999998,14.09,0.5336322146951873
6/22/2026,2026-06-22 14:29,SAUG,Moderate Buffer,August,27.7,14.550000000000002,298.69,31.5,60,,1.24,,,21.86,,-13.5,,,,15.97,14.09,0.42064102716575674
6/22/2026,2026-06-22 14:29,DDEC,Deep Buffer,December,47.27,5.18,744.98,9.46,179,,5.64,,,25.56,,-10.49,,,,11.11,24.15,1.0064273998631008
6/22/2026,2026-06-22 14:29,FDEC,Buffer,December,54.33,6.5,744.98,9.46,179,,6.950000000000001,,,10.88,,-6.9,,,,13.900000000000002,9.15,0.9595223070059192
6/22/2026,2026-06-22 14:29,GDEC,Moderate Buffer,December,39.73,5.42,744.98,9.46,179,,5.52,,,16.4,,-5.94,,,,11.24,14.150000000000002,1.1523249771087134
6/22/2026,2026-06-22 14:29,QDEC,Buffer,December,35.58,9.46,737.49,19.52,179,,7.180000000000001,,,15.229999999999999,,-9.46,,,,17.32,9.1,0.9761952618817517
6/22/2026,2026-06-22 14:29,RSDE,Buffer,December,23.29,6.6000000000000005,209.76,8.75,179,,6.92,,,10.26,,-6.98,,,,13.970000000000002,9.15,0.9104815965730448
6/22/2026,2026-06-22 14:29,TDEC,Buffer,December,26.52,11.61,71.24,32.6,179,,6.480000000000001,,,20.88,,-11.25,,,,18.84,9.05,1.1549237549464046
6/22/2026,2026-06-22 14:29,YDEC,Moderate Buffer,December,27.62,5.88,104.58,9.55,179,,5.91,,,16.01,,-6.4,,,,12.13,14.099999999999998,1.1065216392154502
6/22/2026,2026-06-22 14:29,DFEB,Deep Buffer,February,50.4,3.82,744.98,8.06,242,,6.94,,,25.91,,-9.31,,,,11.02,24.15,1.3784630999252006
6/22/2026,2026-06-22 14:29,FFEB,Buffer,February,60.86,5.08,744.98,8.06,242,,8.64,,,11.07,,-5.64,,,,14.16,9.15,1.3876270879425197
6/22/2026,2026-06-22 14:29,GFEB,Moderate Buffer,February,43.92,4.01,744.98,8.06,242,,6.909999999999999,,,16.66,,-4.67,,,,11.21,14.150000000000002,1.598572554002227
6/22/2026,2026-06-22 14:29,QMFE,Moderate Buffer,February,24.26,6.7,737.49,21.14,242,,6.94,,,22.71,,-7.13,,,,14.11,14.099999999999998,1.6279252203808852
6/22/2026,2026-06-22 14:29,SFEB,Moderate Buffer,February,26.12,6.59,298.69,12.879999999999999,242,,9.26,,,17.67,,-7.03,,,,16.46,14.099999999999998,1.4322293008508271
6/22/2026,2026-06-22 14:29,DJAN,Deep Buffer,January,45.45,4.08,744.98,7.71,207,,6.4399999999999995,,,25.47,,-9.54,,,,10.78,24.15,1.1981228581308754
6/22/2026,2026-06-22 14:29,FJAN,Buffer,January,55.01,5.24,744.98,7.71,207,,8.02,,,10.66,,-5.78,,,,13.68,9.15,1.1923356380650119
6/22/2026,2026-06-22 14:29,GJAN,Moderate Buffer,January,44.92,4.34,744.98,7.71,207,,6.35,,,16.11,,-4.97,,,,10.97,14.150000000000002,1.3694038956790733
6/22/2026,2026-06-22 14:29,QCJA,Conservative Buffer,January,23.32,5.3,737.49,18.71,207,,5.59,,,26.72,,-5.88,,,,11.18,19.1,1.4908166989027134
6/22/2026,2026-06-22 14:29,DJUL,Deep Buffer,July,50.03,10.56,744.98,18.71,25,,0.51,,,26.19,,-14.84,,,,11.12,24.15,0.269491291741303
6/22/2026,2026-06-22 14:29,FJUL,Buffer,July,59.39,12.9,744.98,18.71,25,,0.71,,,12.01,,-12.18,,,,13.699999999999998,9.15,0.16183532331469716
6/22/2026,2026-06-22 14:29,GJUL,Moderate Buffer,July,43.42,10.68,744.98,18.71,25,,0.4699999999999999,,,17.98,,-10.41,,,,11.2,14.150000000000002,0.31816439288191917
6/22/2026,2026-06-22 14:29,QCJL,Conservative Buffer,July,25.02,10.78,737.49,31.4,25,,0.35,,,28.58,,-10.54,,,,11.16,19.1,0.42549005723338607
6/22/2026,2026-06-22 14:29,DJUN,Deep Buffer,June,49.19,-0.07,744.98,-0.24,360,,12.839999999999998,,,24.06,,-5.78,,,,12.75,24.15,2.4718529590796985
6/22/2026,2026-06-22 14:29,FJUN,Buffer,June,59.81,-0.1,744.98,-0.24,360,,15.72,,,9.04,,-0.75,,,,15.6,9.15,2.830167928752679
6/22/2026,2026-06-22 14:29,GJUN,Moderate Buffer,June,41.1,-0.13,744.98,-0.24,360,,12.65,,,14.08,,-0.71,,,,12.509999999999998,14.150000000000002,2.8704066162101647
6/22/2026,2026-06-22 14:29,QJUN,Buffer,June,33.7,-0.31,737.49,-0.42,360,,24.46,,,9.03,,-0.59,,,,24.07,9.1,2.8589687284755834
6/22/2026,2026-06-22 14:29,RSJN,Buffer,June,36.94,0.0,209.76,-0.1,360,,14.429999999999998,,,9.06,,-0.8500000000000001,,,,14.429999999999998,9.15,2.8168051246159465
6/22/2026,2026-06-22 14:29,TJUN,Buffer,June,23.73,0.4,71.24,0.63,360,,37.07,,,9.22,,-1.34,,,,37.62,9.05,2.75331617342778
6/22/2026,2026-06-22 14:29,YJUN,Moderate Buffer,June,26.95,0.02,104.58,0.16,360,,13.74,,,14.219999999999999,,-0.91,,,,13.76,14.099999999999998,2.8586080438072154
6/22/2026,2026-06-22 14:29,DMAR,Deep Buffer,March,44.65,5.61,744.98,14.859999999999998,270,,6.260000000000001,,,28.21,,-10.85,,,,12.22,24.15,1.392580103819391
6/22/2026,2026-06-22 14:29,FMAR,Buffer,March,52.15,7.9399999999999995,744.98,14.859999999999998,270,,7.77,,,13.51,,-8.14,,,,16.32,9.15,1.3282098029459952
6/22/2026,2026-06-22 14:29,GMAR,Moderate Buffer,March,44.13,6.260000000000001,744.98,14.859999999999998,270,,6.58,,,19.31,,-6.69,,,,13.26,14.150000000000002,1.6164715107462657
6/22/2026,2026-06-22 14:29,QMAR,Buffer,March,37.17,10.51,737.49,26.700000000000003,270,,8.55,,,18.65,,-10.32,,,,19.96,9.1,1.4911113414525636
6/22/2026,2026-06-22 14:29,RSMR,Buffer,March,23.48,6.950000000000001,209.76,10.12,270,,9.35,,,10.98,,-7.290000000000001,,,,16.95,9.15,1.2673654456012098
6/22/2026,2026-06-22 14:29,TMAR,Buffer,March,26.47,13.76,71.24,28.03,270,,13.05,,,16.77,,-12.93,,,,28.6,9.05,1.0791439028714624
6/22/2026,2026-06-22 14:29,YMAR,Moderate Buffer,March,28.7,6.64,104.58,11.74,270,,7.77,,,16.86,,-7.07,,,,14.93,14.099999999999998,1.4729290379312778
6/22/2026,2026-06-22 14:29,DMAY,Deep Buffer,May,47.03,0.66,744.98,0.79,333,,11.96,,,24.07,,-6.480000000000001,,,,12.7,24.14,2.1924781102234396
6/22/2026,2026-06-22 14:29,FMAY,Buffer,May,56.06,0.88,744.98,0.79,333,,15.21,,,8.97,,-1.73,,,,16.23,9.14,2.4239979091459345
6/22/2026,2026-06-22 14:29,GMAY,Moderate Buffer,May,42.96,0.75,744.98,0.79,333,,12.13,,,14.06,,-1.6,,,,12.97,14.14,2.5092992159585683
6/22/2026,2026-06-22 14:29,QMMY,Moderate Buffer,May,26.42,1.42,737.49,4.03,333,,15.14,,,15.990000000000002,,-2.3,,,,16.77,14.09,2.5333341132976885
6/22/2026,2026-06-22 14:29,SMAY,Moderate Buffer,May,28.23,3.84,298.69,7.6,333,,13.86,,,16.42,,-4.58,,,,18.24,14.09,2.1941823321635354
6/22/2026,2026-06-22 14:29,DNOV,Deep Buffer,November,51.23,7.39,744.98,13.04,151,,4.37,,,25.75,,-12.32,,,,12.08,24.15,0.7744340733058621
6/22/2026,2026-06-22 14:29,FNOV,Buffer,November,58.3,9.49,744.98,13.04,151,,5.74,,,10.94,,-9.44,,,,15.770000000000001,9.15,0.6117388017791382
6/22/2026,2026-06-22 14:29,GNOV,Moderate Buffer,November,41.7,7.68,744.98,13.04,151,,4.39,,,16.88,,-7.919999999999999,,,,12.41,14.150000000000002,0.8817347162125989
6/22/2026,2026-06-22 14:29,QMNV,Moderate Buffer,November,25.06,10.42,737.49,24.98,151,,4.56,,,21.74,,-10.25,,,,15.45,14.099999999999998,0.9077974934997618
6/22/2026,2026-06-22 14:29,SNOV,Moderate Buffer,November,26.97,12.710000000000003,298.69,26.780000000000005,151,,4.27,,,20.88,,-12.07,,,,17.52,14.099999999999998,0.7518459254398354
6/22/2026,2026-06-22 14:29,DOCT,Deep Buffer,October,46.57,7.04,744.98,12.13,116,,3.5900000000000003,,,25.53,,-12.04,,,,10.88,24.15,0.6691821667575488
6/22/2026,2026-06-22 14:29,FOCT,Buffer,October,52.2,9.04,744.98,12.13,116,,4.77,,,10.67,,-9.07,,,,14.24,9.15,0.5335842288204474
6/22/2026,2026-06-22 14:29,GOCT,Moderate Buffer,October,41.44,7.44,744.98,12.13,116,,3.5900000000000003,,,16.48,,-7.71,,,,11.3,14.150000000000002,0.7536654702174322
6/22/2026,2026-06-22 14:29,QCOC,Conservative Buffer,October,23.88,8.1,737.49,22.11,116,,3.15,,,26.16,,-8.33,,,,11.51,19.1,0.8696487921169445
6/22/2026,2026-06-22 14:29,BGLD,Deep Buffer,Quarterly,16.61,-4.48,384.0,-7.9399999999999995,70,,13.59,,,6.88,,-0.79,,,,8.51,9.77,0.9748075133101056
6/22/2026,2026-06-22 14:29,DHDG,Buffer,Quarterly,36.43,2.86,744.98,4.91,25,,1.19,,,13.56,,-5.42,,,,4.09,12.29,0.46614699844910107
6/22/2026,2026-06-22 14:29,FHDG,Buffer,Quarterly,36.17,1.06,744.98,0.79,60,,3.27,,,6.950000000000001,,-1.27,,,,4.36,7.2700000000000005,0.8803138945649349
6/22/2026,2026-06-22 14:29,DSEP,Deep Buffer,September,47.34,7.42,744.98,12.25,88,,2.94,,,25.28,,-12.35,,,,10.58,24.15,0.5583255748508749
6/22/2026,2026-06-22 14:29,FSEP,Buffer,September,54.95,9.01,744.98,12.25,88,,3.8,,,10.78,,-9.04,,,,13.15,9.15,0.46045969550638166
6/22/2026,2026-06-22 14:29,GSEP,Moderate Buffer,September,40.87,7.61,744.98,12.25,88,,2.82,,,16.42,,-7.85,,,,10.63,14.150000000000002,0.6382944638288497
