Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
9/15/2026,FAUG,Buffer,August,57.23,-0.51,757.39,-1.09,339,17.72,16.92,18.46,9.47,8.68,0.0,-0.33,-9.01,0.46,-0.33,16.32,9.15
9/15/2026,FDEC,Buffer,December,55.52,8.84,757.39,11.28,94,4.85,4.65,3.11,10.43,10.23,-8.7,-8.9,-19.13,1.67,1.47,13.9,9.15
9/15/2026,FFEB,Buffer,February,62.15,7.31,757.39,9.86,157,6.72,6.38,4.69,10.81,10.47,-7.26,-7.6,-18.08,1.92,1.58,14.16,9.15
9/15/2026,FHDG,Buffer,Quarterly,36.95,-0.17,757.39,-1.09,66,4.01,3.86,5.03,6.6,6.45,0.0,-0.04,-6.48,0.12,-0.04,3.68,7.29
9/15/2026,FJAN,Buffer,January,56.16,7.45,757.39,9.5,122,6.07,5.8,4.59,10.35,10.09,-7.46,-7.72,-17.81,1.39,1.12,13.68,9.15
9/15/2026,FJUL,Buffer,July,60.8,1.59,757.39,1.9,304,14.85,14.16,14.65,9.97,9.28,-1.7,-2.4,-11.68,0.16,-0.53,15.97,9.15
9/15/2026,FJUN,Buffer,June,60.71,1.41,757.39,1.43,275,14.63,14.0,14.81,9.67,9.04,-1.59,-2.22,-11.27,-0.19,-0.82,15.6,9.15
9/15/2026,FMAR,Buffer,March,53.29,10.29,757.39,16.78,185,5.86,5.47,0.34,13.22,12.83,-9.71,-10.1,-22.93,5.5,5.11,16.32,9.15
9/15/2026,FMAY,Buffer,May,56.96,2.51,757.39,2.46,248,13.94,13.37,14.27,9.43,8.87,-2.73,-3.3,-12.17,-0.33,-0.89,16.23,9.14
9/15/2026,FNOV,Buffer,November,59.68,12.09,757.39,14.92,66,3.42,3.29,1.47,10.28,10.15,-11.4,-11.54,-21.69,1.91,1.77,15.77,9.15
9/15/2026,FOCT,Buffer,October,53.53,11.84,757.39,14.0,31,2.22,2.15,0.96,9.77,9.71,-11.28,-11.34,-21.05,1.24,1.18,14.24,9.15
9/15/2026,FSEP,Buffer,September,56.66,12.41,757.39,14.12,3,0.67,0.66,-0.1,9.35,9.34,-11.79,-11.79,-21.13,0.67,0.66,13.15,9.15
9/15/2026,GAPR,Moderate Buffer,April,42.33,4.14,757.39,6.65,213,7.54,7.06,5.33,15.99,15.51,-4.31,-4.79,-20.3,2.07,1.6,11.49,14.15
9/15/2026,GAUG,Moderate Buffer,August,41.84,-0.4,757.39,-1.09,339,14.15,13.36,15.0,14.41,13.61,0.0,-0.45,-14.06,0.34,-0.45,12.91,14.15
9/15/2026,GDEC,Moderate Buffer,December,40.54,7.57,757.39,11.28,94,3.61,3.41,0.72,16.0,15.79,-7.62,-7.82,-23.62,2.87,2.66,11.24,14.15
9/15/2026,GFEB,Moderate Buffer,February,44.77,6.04,757.39,9.86,157,5.22,4.88,2.0,16.48,16.13,-6.14,-6.49,-22.62,3.15,2.8,11.21,14.15
9/15/2026,GJAN,Moderate Buffer,January,45.79,6.36,757.39,9.5,122,4.6,4.33,2.11,15.87,15.6,-6.51,-6.78,-22.37,2.42,2.16,10.97,14.15
9/15/2026,GJUL,Moderate Buffer,July,44.28,1.45,757.39,1.9,304,12.06,11.36,11.7,15.02,14.32,-1.56,-2.26,-16.58,0.31,-0.39,12.97,14.15
9/15/2026,GJUN,Moderate Buffer,June,41.69,1.32,757.39,1.43,275,11.67,11.04,11.76,14.69,14.05,-1.51,-2.14,-16.19,-0.1,-0.73,12.51,14.15
9/15/2026,GMAR,Moderate Buffer,March,45.01,8.37,757.39,16.78,185,4.91,4.51,-2.29,19.11,18.71,-8.1,-8.5,-27.21,4.91,4.51,13.26,14.15
9/15/2026,GMAY,Moderate Buffer,May,43.63,2.33,757.39,2.46,248,10.96,10.4,11.09,14.49,13.92,-2.55,-3.12,-17.04,-0.15,-0.71,12.97,14.14
9/15/2026,GNOV,Moderate Buffer,November,42.6,10.01,757.39,14.92,66,2.32,2.18,-1.45,16.31,16.17,-9.73,-9.87,-26.04,2.32,2.18,12.41,14.15
9/15/2026,GOCT,Moderate Buffer,October,42.4,9.95,757.39,14.0,31,1.29,1.23,-1.63,15.69,15.62,-9.75,-9.81,-25.43,1.29,1.23,11.3,14.15
9/15/2026,GSEP,Moderate Buffer,September,41.96,10.49,757.39,14.12,3,0.14,0.13,-2.31,15.26,15.25,-10.25,-10.26,-25.51,0.14,0.13,10.63,14.15
9/15/2026,QCAP,Conservative Buffer,April,25.13,4.33,704.54,8.58,213,7.95,7.45,4.07,21.81,21.31,-4.51,-5.01,-26.32,3.72,3.21,12.1,19.1
9/15/2026,QCJA,Conservative Buffer,January,23.66,6.85,704.54,13.41,122,4.33,4.05,-1.17,22.49,22.2,-6.97,-7.25,-29.46,4.33,4.05,11.18,19.1
9/15/2026,QCJL,Conservative Buffer,July,25.53,1.6,704.54,1.32,304,14.42,13.69,14.88,19.33,18.59,-1.72,-2.46,-21.05,-0.41,-1.15,15.5,19.1
9/15/2026,QCOC,Conservative Buffer,October,24.34,10.22,704.54,16.66,31,1.24,1.17,-3.64,21.41,21.34,-10.02,-10.09,-31.43,1.24,1.17,11.51,19.1
9/15/2026,QDEC,Buffer,December,36.04,10.89,704.54,14.18,94,6.01,5.8,3.54,10.75,10.55,-10.42,-10.63,-21.18,2.37,2.16,17.32,9.1
9/15/2026,QJUN,Buffer,June,33.11,-2.07,704.54,-4.87,275,27.38,26.69,31.37,7.28,6.59,0.0,0.0,-5.39,1.89,1.19,24.07,9.1
9/15/2026,QMAG,Moderate Buffer,August,25.64,-0.23,704.54,-1.25,339,18.38,17.54,19.66,14.09,13.26,0.0,-0.67,-13.93,0.17,-0.67,17.27,14.1
9/15/2026,QMAR,Buffer,March,37.79,12.36,704.54,21.04,185,7.17,6.76,-0.15,14.25,13.84,-11.4,-11.8,-25.65,7.17,6.76,19.96,9.1
9/15/2026,QMFE,Moderate Buffer,February,24.62,8.31,704.54,15.72,157,5.71,5.35,-0.62,18.4,18.05,-8.15,-8.5,-26.55,5.71,5.35,14.11,14.1
9/15/2026,QMMY,Moderate Buffer,May,26.31,1.02,704.54,-0.62,248,16.2,15.59,18.42,13.16,12.55,-1.31,-1.92,-14.47,-1.31,-1.92,16.77,14.09
9/15/2026,QMNV,Moderate Buffer,November,25.51,12.44,704.54,19.4,66,2.82,2.68,-2.55,17.09,16.95,-11.72,-11.86,-28.81,2.82,2.68,15.45,14.1
9/15/2026,QSPT,Buffer,September,35.73,15.4,704.54,17.55,3,0.59,0.59,-0.5,9.32,9.32,-14.11,-14.12,-23.44,0.59,0.59,16.07,9.1
9/15/2026,RSDE,Buffer,December,23.79,8.93,213.96,10.93,94,4.83,4.63,3.51,10.1,9.89,-8.77,-8.97,-18.87,1.26,1.06,13.97,9.15
9/15/2026,RSJN,Buffer,June,37.34,1.08,213.96,1.91,275,13.84,13.21,13.12,10.41,9.77,-1.28,-1.91,-11.68,0.61,-0.03,14.43,9.15
9/15/2026,RSMR,Buffer,March,24.0,9.36,213.96,12.33,185,7.34,6.95,4.87,10.94,10.55,-8.94,-9.33,-19.88,2.34,1.94,16.95,9.15
9/15/2026,RSSE,Buffer,September,23.63,12.26,213.96,13.08,3,1.31,1.3,1.32,8.74,8.74,-11.67,-11.68,-20.41,-0.02,-0.02,13.72,9.15
9/15/2026,SAUG,Moderate Buffer,August,27.52,-1.93,285.14,-4.94,339,20.0,19.15,23.87,12.49,11.63,0.0,0.0,-10.58,1.9,1.05,16.85,14.1
9/15/2026,SFEB,Moderate Buffer,February,26.13,6.63,285.14,7.76,157,9.59,9.23,8.91,14.43,14.06,-6.69,-7.06,-21.12,0.58,0.22,16.46,14.1
9/15/2026,SMAY,Moderate Buffer,May,28.08,3.31,285.14,2.72,248,15.04,14.45,16.0,13.75,13.16,-3.5,-4.09,-17.25,-0.87,-1.46,18.24,14.09
9/15/2026,SNOV,Moderate Buffer,November,27.37,14.41,285.14,21.03,66,2.87,2.72,-2.15,16.53,16.39,-13.24,-13.38,-29.77,2.87,2.72,17.52,14.1
9/15/2026,SQBA,Buffer,Quarterly,30.62,-0.04,757.39,-1.09,66,2.59,2.43,3.74,14.04,13.89,-0.02,-0.18,-14.07,-0.02,-0.18,2.4,14.79
9/15/2026,TDEC,Buffer,December,26.99,13.59,65.76,22.41,94,4.84,4.62,-2.14,13.89,13.67,-12.58,-12.8,-26.48,4.84,4.62,18.84,9.05
9/15/2026,TJUN,Buffer,June,22.74,-3.79,65.76,-7.11,275,43.78,43.04,49.16,6.82,6.07,0.0,0.0,-3.12,3.7,2.96,37.62,9.05
9/15/2026,TMAR,Buffer,March,26.45,13.67,65.76,18.19,185,13.55,13.13,9.61,11.4,10.98,-12.44,-12.86,-23.84,3.56,3.14,28.6,9.05
9/15/2026,TSEP,Buffer,September,26.86,16.26,65.76,24.05,3,-0.02,-0.02,-5.54,12.65,12.64,-14.8,-14.8,-27.45,-0.02,-0.02,16.24,9.05
9/15/2026,YDEC,Moderate Buffer,December,28.06,7.58,105.4,10.41,94,4.45,4.24,2.37,15.36,15.14,-7.66,-7.88,-23.02,2.02,1.8,12.13,14.1
9/15/2026,YJUN,Moderate Buffer,June,27.2,0.94,105.4,0.95,275,13.37,12.7,13.58,14.65,13.98,-1.15,-1.82,-15.8,-0.21,-0.88,13.76,14.1
9/15/2026,YMAR,Moderate Buffer,March,29.17,8.37,105.4,12.62,185,6.47,6.05,2.85,16.39,15.97,-8.13,-8.55,-24.53,3.51,3.09,14.93,14.1
9/15/2026,YSEP,Moderate Buffer,September,28.36,11.68,105.4,13.33,3,0.51,0.5,-0.17,13.74,13.74,-11.26,-11.26,-25.0,0.51,0.5,12.24,14.1
