Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
9/15/2026,BGLD,Deep Buffer,Quarterly,16.68,-1.91,394.15,-3.49,76,11.77,11.58,13.64,8.74,8.54,-3.19,-3.38,-11.92,-1.65,-1.84,9.44,9.77
9/15/2026,DAPR,Deep Buffer,April,41.47,3.77,757.39,6.65,213,7.63,7.16,5.05,25.58,25.1,-8.79,-9.27,-34.37,2.44,1.97,11.19,24.15
9/15/2026,DAUG,Deep Buffer,August,47.25,-0.58,757.39,-1.09,339,14.38,13.58,15.02,24.73,23.93,-4.5,-5.3,-29.23,-0.57,-1.36,12.92,24.15
9/15/2026,DDEC,Deep Buffer,December,48.25,7.36,757.39,11.28,94,3.7,3.49,0.61,25.0,24.79,-12.1,-12.3,-37.1,3.07,2.86,11.11,24.15
9/15/2026,DFEB,Deep Buffer,February,51.35,5.77,757.39,9.86,157,5.31,4.96,1.83,25.64,25.3,-10.64,-10.99,-36.28,3.41,3.06,11.02,24.15
9/15/2026,DHDG,Buffer,Quarterly,37.42,1.47,757.39,1.9,31,2.65,2.58,2.36,12.53,12.46,-4.05,-4.13,-16.58,0.28,0.21,4.09,12.29
9/15/2026,DJAN,Deep Buffer,January,46.32,6.08,757.39,9.5,122,4.7,4.43,1.94,25.1,24.83,-10.98,-11.25,-36.08,2.69,2.43,10.78,24.15
9/15/2026,DJUL,Deep Buffer,July,50.91,1.19,757.39,1.9,304,12.12,11.42,11.49,25.05,24.35,-6.26,-6.96,-31.3,0.56,-0.14,12.75,24.15
9/15/2026,DJUN,Deep Buffer,June,49.76,1.09,757.39,1.43,275,12.17,11.54,12.0,24.75,24.12,-6.23,-6.86,-30.98,0.13,-0.51,12.75,24.15
9/15/2026,DMAR,Deep Buffer,March,45.47,7.56,757.39,16.78,185,4.73,4.33,-3.18,27.99,27.59,-12.07,-12.47,-40.06,4.73,4.33,12.22,24.15
9/15/2026,DMAY,Deep Buffer,May,47.64,1.96,757.39,2.46,248,11.09,10.53,10.83,24.57,24.01,-7.11,-7.68,-31.68,0.21,-0.36,12.7,24.14
9/15/2026,DNOV,Deep Buffer,November,52.34,9.71,757.39,14.92,66,2.3,2.16,-1.74,25.05,24.91,-14.04,-14.18,-39.09,2.3,2.16,12.08,24.15
9/15/2026,DOCT,Deep Buffer,October,47.68,9.59,757.39,14.0,31,1.24,1.18,-1.99,24.57,24.51,-14.02,-14.09,-38.6,1.24,1.18,10.88,24.15
9/15/2026,DSEP,Deep Buffer,September,48.67,10.45,757.39,14.12,3,0.13,0.12,-2.35,23.91,23.91,-14.75,-14.75,-38.66,0.13,0.12,10.58,24.15
9/15/2026,FAPR,Buffer,April,47.49,4.91,757.39,6.65,213,9.43,8.96,7.98,10.6,10.12,-5.02,-5.49,-15.61,1.32,0.85,14.31,9.15
