Date,Captured At (ET),Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%),ECR
9/21/2026,2026-09-21 10:09,DAPR,Deep Buffer,April,41.73,4.4,767.44,8.07,207,,6.509999999999999,,,25.41,,-9.81,,,,11.19,24.15,1.1741178536140107
9/21/2026,2026-09-21 10:09,FAPR,Buffer,April,47.87,5.75,767.44,8.07,207,,8.1,,,10.48,,-6.24,,,,14.31,9.15,1.1239352597211516
9/21/2026,2026-09-21 10:09,GAPR,Moderate Buffer,April,42.59,4.79,767.44,8.07,207,,6.4,,,15.97,,-5.38,,,,11.49,14.150000000000002,1.3205637789458309
9/21/2026,2026-09-21 10:09,QCAP,Conservative Buffer,April,25.41,5.48,732.32,12.86,207,,6.280000000000001,,,23.07,,-6.05,,,,12.1,19.1,1.3713027242579645
9/21/2026,2026-09-21 10:09,DAUG,Deep Buffer,August,47.61,0.17,767.44,0.22,333,,12.73,,,24.15,,-6.01,,,,12.920000000000002,24.15,2.2687150941461067
9/21/2026,2026-09-21 10:09,FAUG,Buffer,August,57.8,0.45999999999999996,767.44,0.22,333,,15.79,,,8.9,,-1.3,,,,16.32,9.15,2.5053179585142633
9/21/2026,2026-09-21 10:09,GAUG,Moderate Buffer,August,42.16,0.36,767.44,0.22,333,,12.5,,,13.99,,-1.2,,,,12.91,14.150000000000002,2.577403798520285
9/21/2026,2026-09-21 10:09,QMAG,Moderate Buffer,August,26.13,1.67,732.32,2.65,333,,15.340000000000002,,,14.67,,-2.53,,,,17.27,14.099999999999998,2.40934357838874
9/21/2026,2026-09-21 10:09,SAUG,Moderate Buffer,August,27.46,-2.14,285.21,-4.92,333,,19.4,,,11.87,,0.0,,,,16.85,14.099999999999998,2.603005552230888
9/21/2026,2026-09-21 10:09,DDEC,Deep Buffer,December,48.6,8.13,767.44,12.76,88,,2.76,,,25.0,,-12.93,,,,11.11,24.15,0.5251030555714814
9/21/2026,2026-09-21 10:09,FDEC,Buffer,December,55.99,9.77,767.44,12.76,88,,3.7699999999999996,,,10.51,,-9.67,,,,13.900000000000002,9.15,0.40438524446481316
9/21/2026,2026-09-21 10:09,GDEC,Moderate Buffer,December,40.8,8.24,767.44,12.76,88,,2.76,,,16.22,,-8.4,,,,11.24,14.150000000000002,0.6007068035769506
9/21/2026,2026-09-21 10:09,QDEC,Buffer,December,36.68,12.85,732.32,18.68,88,,3.9699999999999998,,,11.99,,-12.18,,,,17.32,9.1,0.31912897937151263
9/21/2026,2026-09-21 10:09,RSDE,Buffer,December,23.74,8.68,211.78,9.8,88,,4.87,,,9.26,,-8.77,,,,13.970000000000002,9.15,0.4322530843036789
9/21/2026,2026-09-21 10:09,TDEC,Buffer,December,27.4,15.289999999999997,68.25,27.04,88,,3.08,,,15.07,,-14.08,,,,18.84,9.05,0.31680411534114383
9/21/2026,2026-09-21 10:09,YDEC,Moderate Buffer,December,28.17,7.99,105.82,10.85,88,,3.84,,,15.09,,-8.23,,,,12.13,14.099999999999998,0.6050419819967948
9/21/2026,2026-09-21 10:09,DFEB,Deep Buffer,February,51.66,6.4,767.44,11.32,151,,4.34,,,25.6,,-11.51,,,,11.02,24.15,0.8178452750368376
