Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
6/15/2026,BGLD,Deep Buffer,Quarterly,16.9,-2.76,396.55,-4.93,77,11.78,11.58,14.38,8.24,8.04,-2.35,-2.55,-10.59,-2.28,-2.48,8.51,9.77
6/15/2026,DAPR,Deep Buffer,April,40.97,2.51,754.83,6.29,305,9.16,8.47,5.41,26.68,25.99,-7.46,-8.15,-34.14,3.56,2.86,11.19,24.15
6/15/2026,DAUG,Deep Buffer,August,46.78,9.46,754.83,17.31,67,1.66,1.51,-4.55,26.47,26.33,-13.86,-14.0,-40.33,1.66,1.51,11.12,24.14
6/15/2026,DDEC,Deep Buffer,December,47.42,5.52,754.83,10.91,186,5.71,5.3,0.95,26.52,26.11,-10.36,-10.77,-36.89,4.71,4.3,11.11,24.15
6/15/2026,DFEB,Deep Buffer,February,50.57,4.16,754.83,9.49,249,7.14,6.59,2.18,27.01,26.46,-9.05,-9.61,-36.07,4.85,4.3,11.02,24.15
6/15/2026,DHDG,Buffer,Quarterly,36.49,3.03,754.83,6.29,32,1.1,1.02,-1.87,14.53,14.46,-5.5,-5.58,-20.03,1.1,1.02,4.09,12.29
6/15/2026,DJAN,Deep Buffer,January,45.59,4.41,754.83,9.13,214,6.58,6.1,2.29,26.51,26.03,-9.35,-9.83,-35.86,4.19,3.71,10.78,24.15
6/15/2026,DJUL,Deep Buffer,July,50.04,10.58,754.83,20.28,32,0.55,0.49,-6.91,27.01,26.94,-14.79,-14.86,-41.8,0.55,0.49,11.12,24.15
6/15/2026,DJUN,Deep Buffer,June,49.19,11.23,754.83,27.02,3,0.01,0.01,-11.76,29.55,29.54,-15.34,-15.35,-44.89,0.01,0.01,11.23,24.15
6/15/2026,DMAR,Deep Buffer,March,44.76,5.87,754.83,16.38,277,6.61,6.0,-2.85,29.39,28.78,-10.46,-11.07,-39.85,6.61,6.0,12.22,24.15
6/15/2026,DMAY,Deep Buffer,May,47.24,1.12,754.83,2.12,340,12.24,11.45,11.2,25.33,24.55,-6.12,-6.9,-31.45,0.92,0.14,12.7,24.14
6/15/2026,DNOV,Deep Buffer,November,51.34,7.64,754.83,14.54,158,4.47,4.13,-1.4,26.7,26.36,-12.18,-12.53,-38.88,4.47,4.13,12.08,24.15
6/15/2026,DOCT,Deep Buffer,October,46.68,7.3,754.83,13.61,123,3.61,3.34,-1.66,26.4,26.14,-11.98,-12.25,-38.39,3.61,3.34,10.88,24.15
6/15/2026,DSEP,Deep Buffer,September,47.45,7.69,754.83,13.73,95,2.89,2.69,-2.02,26.09,25.88,-12.36,-12.57,-38.45,2.89,2.69,10.58,24.15
6/15/2026,FAPR,Buffer,April,46.8,3.38,754.83,6.29,305,11.26,10.57,8.34,11.92,11.23,-3.41,-4.09,-15.33,2.68,1.99,14.31,9.15
6/15/2026,FAUG,Buffer,August,56.4,11.26,754.83,17.31,67,2.08,1.94,-2.58,12.52,12.38,-10.76,-10.9,-23.28,2.08,1.94,13.43,9.14
6/15/2026,FDEC,Buffer,December,54.55,6.94,754.83,10.91,186,6.92,6.51,3.46,11.98,11.57,-6.88,-7.28,-18.85,3.33,2.92,13.9,9.15
6/15/2026,FFEB,Buffer,February,61.11,5.52,754.83,9.49,249,8.74,8.19,5.04,12.31,11.76,-5.49,-6.04,-17.8,3.5,2.95,14.16,9.15
6/15/2026,FHDG,Buffer,Quarterly,36.29,1.42,754.83,2.12,67,3.06,2.9,2.42,7.95,7.8,-1.47,-1.62,-9.42,0.62,0.46,4.36,7.27
6/15/2026,FJAN,Buffer,January,55.24,5.68,754.83,9.13,214,8.04,7.57,4.95,11.83,11.36,-5.71,-6.18,-17.53,2.94,2.47,13.68,9.15
6/15/2026,FJUL,Buffer,July,59.4,12.94,754.83,20.28,32,0.74,0.68,-4.76,13.03,12.97,-12.14,-12.21,-25.17,0.74,0.68,13.7,9.15
6/15/2026,FJUN,Buffer,June,59.83,14.27,754.83,27.02,3,0.02,0.02,-9.35,15.92,15.91,-13.22,-13.23,-29.14,0.02,0.02,14.29,9.15
