Date,Captured At (ET),Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%),ECR
9/21/2026,2026-09-21 16:56,DAPR,Deep Buffer,April,41.87,4.76,773.5,8.92,207,,6.14,,,25.61,,-10.13,,,,11.19,24.15,1.1436469525873671
9/21/2026,2026-09-21 16:56,FAPR,Buffer,April,48.07,6.18,773.5,8.92,207,,7.66,,,10.75,,-6.619999999999999,,,,14.31,9.15,1.087853891966393
9/21/2026,2026-09-21 16:56,GAPR,Moderate Buffer,April,42.7,5.06,773.5,8.92,207,,6.12,,,16.34,,-5.62,,,,11.49,14.150000000000002,1.3050603397287646
9/21/2026,2026-09-21 16:56,QCAP,Conservative Buffer,April,25.48,5.77,741.37,14.26,207,,5.99,,,23.68,,-6.3,,,,12.1,19.1,1.3621790743041984
9/21/2026,2026-09-21 16:56,DAUG,Deep Buffer,August,47.81,0.6,773.5,1.02,333,,12.25,,,24.29,,-6.41,,,,12.920000000000002,24.15,2.2113949014261705
9/21/2026,2026-09-21 16:56,FAUG,Buffer,August,58.08,0.95,773.5,1.02,333,,15.229999999999999,,,9.13,,-1.78,,,,16.32,9.15,2.4285076575387694
9/21/2026,2026-09-21 16:56,GAUG,Moderate Buffer,August,42.31,0.72,773.5,1.02,333,,12.1,,,14.3,,-1.55,,,,12.91,14.150000000000002,2.5314703206645293
9/21/2026,2026-09-21 16:56,QMAG,Moderate Buffer,August,26.27,2.22,741.37,3.91,333,,14.730000000000002,,,15.160000000000002,,-3.05,,,,17.27,14.099999999999998,2.3543273071582416
9/21/2026,2026-09-21 16:56,SAUG,Moderate Buffer,August,27.49,-2.03,285.55,-4.81,333,,19.27,,,11.86,,0.0,,,,16.85,14.099999999999998,2.602355937668315
9/21/2026,2026-09-21 16:56,DDEC,Deep Buffer,December,48.72,8.4,773.5,13.65,88,,2.51,,,25.27,,-13.140000000000002,,,,11.11,24.15,0.51458125462826
9/21/2026,2026-09-21 16:56,FDEC,Buffer,December,56.22,10.22,773.5,13.65,88,,3.34,,,10.77,,-10.04,,,,13.900000000000002,9.15,0.3819875649165722
9/21/2026,2026-09-21 16:56,GDEC,Moderate Buffer,December,40.89,8.48,773.5,13.65,88,,2.54,,,16.61,,-8.6,,,,11.24,14.150000000000002,0.5954713856023688
9/21/2026,2026-09-21 16:56,QDEC,Buffer,December,36.8,13.209999999999999,741.37,20.15,88,,3.63,,,12.629999999999999,,-12.47,,,,17.32,9.1,0.31505162575160933
9/21/2026,2026-09-21 16:56,RSDE,Buffer,December,23.81,8.98,212.7,10.28,88,,4.58,,,9.37,,-9.02,,,,13.970000000000002,9.15,0.41406089757929215
9/21/2026,2026-09-21 16:56,TDEC,Buffer,December,27.44,15.46,68.81,28.09,88,,2.93,,,15.52,,-14.21,,,,18.84,9.05,0.3267905899957732
9/21/2026,2026-09-21 16:56,YDEC,Moderate Buffer,December,28.2,8.12,106.14,11.18,88,,3.71,,,15.21,,-8.34,,,,12.13,14.099999999999998,0.5994104978789636
9/21/2026,2026-09-21 16:56,DFEB,Deep Buffer,February,51.75,6.59,773.5,12.19,151,,4.16,,,25.94,,-11.67,,,,11.02,24.15,0.8107477307601074
9/21/2026,2026-09-21 16:56,FFEB,Buffer,February,62.85,8.51,773.5,12.19,151,,5.2,,,11.15,,-8.63,,,,14.16,9.15,0.6863717805199712
9/21/2026,2026-09-21 16:56,GFEB,Moderate Buffer,February,45.12,6.87,773.5,12.19,151,,4.06,,,17.02,,-7.22,,,,11.21,14.150000000000002,0.9304785046224576
9/21/2026,2026-09-21 16:56,QMFE,Moderate Buffer,February,24.96,9.78,741.37,21.77,151,,3.94,,,20.47,,-9.73,,,,14.11,14.099999999999998,0.8794728836822477
9/21/2026,2026-09-21 16:56,SFEB,Moderate Buffer,February,26.12,6.59,285.55,7.91,151,,9.26,,,14.2,,-7.03,,,,16.46,14.099999999999998,0.9426866658416275
