Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
6/18/2026,BGLD,Deep Buffer,Quarterly,16.68,-4.06,387.12,-7.19,74,13.29,13.1,17.17,7.38,7.19,-1.03,-1.22,-8.41,-1.03,-1.22,8.51,9.77
6/18/2026,DAPR,Deep Buffer,April,40.87,2.27,746.74,5.15,302,9.41,8.72,6.55,26.18,25.49,-7.25,-7.94,-33.43,2.68,1.99,11.19,24.15
6/18/2026,DAUG,Deep Buffer,August,46.73,9.33,746.74,16.05,64,1.77,1.63,-3.51,25.92,25.79,-13.76,-13.9,-39.68,1.77,1.63,11.12,24.14
6/18/2026,DDEC,Deep Buffer,December,47.33,5.31,746.74,9.72,183,5.92,5.51,2.04,26.01,25.61,-10.19,-10.59,-36.2,3.79,3.38,11.11,24.15
6/18/2026,DFEB,Deep Buffer,February,50.47,3.96,746.74,8.31,246,7.35,6.8,3.28,26.49,25.94,-8.88,-9.43,-35.37,3.93,3.38,11.02,24.15
6/18/2026,DHDG,Buffer,Quarterly,36.44,2.89,746.74,5.15,29,1.23,1.16,-0.81,13.79,13.72,-5.38,-5.45,-19.17,1.23,1.16,4.09,12.29
6/18/2026,DJAN,Deep Buffer,January,45.49,4.19,746.74,7.96,211,6.8,6.33,3.4,26.0,25.53,-9.16,-9.63,-35.16,3.28,2.81,10.78,24.15
6/18/2026,DJUL,Deep Buffer,July,50.03,10.58,746.74,18.99,29,0.55,0.49,-5.9,26.38,26.32,-14.79,-14.85,-41.17,0.55,0.49,11.12,24.15
6/18/2026,DMAR,Deep Buffer,March,44.69,5.72,746.74,15.14,274,6.76,6.16,-1.79,28.87,28.26,-10.33,-10.94,-39.2,6.76,6.16,12.22,24.15
6/18/2026,DMAY,Deep Buffer,May,47.11,0.83,746.74,1.02,337,12.55,11.77,12.41,24.85,24.07,-5.86,-6.64,-30.71,0.11,-0.66,12.7,24.14
6/18/2026,DNOV,Deep Buffer,November,51.26,7.45,746.74,13.31,155,4.65,4.31,-0.33,26.18,25.85,-12.04,-12.38,-38.22,4.65,4.31,12.08,24.15
6/18/2026,DOCT,Deep Buffer,October,46.6,7.11,746.74,12.39,120,3.78,3.52,-0.59,25.88,25.62,-11.84,-12.1,-37.72,3.78,3.52,10.88,24.15
6/18/2026,DSEP,Deep Buffer,September,47.37,7.5,746.74,12.51,92,3.06,2.86,-0.96,25.56,25.37,-12.22,-12.42,-37.78,3.06,2.86,10.58,24.15
6/18/2026,FAPR,Buffer,April,46.67,3.11,746.74,5.15,302,11.55,10.87,9.52,11.26,10.58,-3.15,-3.83,-14.41,1.85,1.17,14.31,9.15
6/18/2026,FAUG,Buffer,August,56.33,11.13,746.74,16.05,64,2.2,2.07,-1.52,11.79,11.66,-10.66,-10.79,-22.45,2.2,2.07,13.43,9.14
6/18/2026,FDEC,Buffer,December,54.39,6.62,746.74,9.72,183,7.23,6.83,4.59,11.36,10.96,-6.61,-7.01,-17.97,2.51,2.11,13.9,9.15
