Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
6/18/2026,FFEB,Buffer,February,60.96,5.26,746.74,8.31,246,9.01,8.46,6.18,11.65,11.11,-5.25,-5.8,-16.91,2.64,2.1,14.16,9.15
6/18/2026,FHDG,Buffer,Quarterly,36.2,1.15,746.74,1.02,64,3.32,3.17,3.53,7.22,7.07,-1.22,-1.37,-8.44,-0.21,-0.35,4.36,7.27
6/18/2026,FJAN,Buffer,January,55.08,5.38,746.74,7.96,211,8.34,7.88,6.08,11.19,10.73,-5.44,-5.91,-16.64,2.11,1.65,13.68,9.15
6/18/2026,FJUL,Buffer,July,59.37,12.88,746.74,18.99,29,0.79,0.73,-3.73,12.26,12.2,-12.1,-12.16,-24.36,0.79,0.73,13.7,9.15
6/18/2026,FMAR,Buffer,March,52.23,8.09,746.74,15.14,274,8.2,7.61,1.77,14.15,13.56,-7.68,-8.27,-21.83,6.32,5.73,16.32,9.15
6/18/2026,FMAY,Buffer,May,56.18,1.11,746.74,1.02,337,15.73,14.95,15.9,9.74,8.96,-1.17,-1.95,-10.91,-0.16,-0.94,16.23,9.14
6/18/2026,FNOV,Buffer,November,58.36,9.6,746.74,13.31,155,5.96,5.63,2.92,11.37,11.04,-9.21,-9.53,-20.57,2.94,2.61,15.77,9.15
6/18/2026,FOCT,Buffer,October,52.25,9.14,746.74,12.39,120,4.93,4.67,2.4,11.03,10.77,-8.9,-9.15,-19.93,2.46,2.2,14.24,9.15
6/18/2026,FSEP,Buffer,September,55.02,9.16,746.74,12.51,92,3.86,3.66,1.32,11.04,10.84,-8.97,-9.17,-20.01,2.49,2.3,13.15,9.15
6/18/2026,GAPR,Moderate Buffer,April,41.63,2.44,746.74,5.15,302,9.53,8.84,6.84,16.64,15.96,-2.52,-3.21,-19.16,2.51,1.82,11.49,14.15
6/18/2026,GAUG,Moderate Buffer,August,41.33,9.32,746.74,16.05,64,1.7,1.57,-3.58,17.58,17.45,-9.17,-9.31,-26.76,1.7,1.57,11.03,14.14
6/18/2026,GDEC,Moderate Buffer,December,39.77,5.52,746.74,9.72,183,5.82,5.41,2.15,16.9,16.49,-5.63,-6.03,-22.53,3.58,3.17,11.24,14.15
6/18/2026,GFEB,Moderate Buffer,February,43.97,4.14,746.74,8.31,246,7.34,6.79,3.45,17.28,16.73,-4.24,-4.79,-21.52,3.74,3.19,11.21,14.15
6/18/2026,GJAN,Moderate Buffer,January,44.96,4.43,746.74,7.96,211,6.73,6.26,3.57,16.69,16.22,-4.58,-5.05,-21.27,3.05,2.57,10.97,14.15
6/18/2026,GJUL,Moderate Buffer,July,43.4,10.64,746.74,18.99,29,0.57,0.51,-5.84,18.25,18.18,-10.32,-10.38,-28.56,0.57,0.51,11.2,14.15
6/18/2026,GMAR,Moderate Buffer,March,44.2,6.42,746.74,15.14,274,7.02,6.42,-0.9,19.94,19.34,-6.23,-6.83,-26.17,7.02,6.42,13.26,14.15
6/18/2026,GMAY,Moderate Buffer,May,43.03,0.93,746.74,1.02,337,12.71,11.93,12.68,14.87,14.09,-0.99,-1.77,-15.86,0.02,-0.76,12.97,14.14
6/18/2026,GNOV,Moderate Buffer,November,41.73,7.78,746.74,13.31,155,4.63,4.29,-0.05,17.31,16.98,-7.67,-8.0,-24.98,4.63,4.29,12.41,14.15
6/18/2026,GOCT,Moderate Buffer,October,41.47,7.53,746.74,12.39,120,3.76,3.5,-0.22,16.85,16.59,-7.53,-7.79,-24.37,3.76,3.5,11.3,14.15
6/18/2026,GSEP,Moderate Buffer,September,40.89,7.67,746.74,12.51,92,2.95,2.75,-0.91,16.74,16.54,-7.71,-7.91,-24.45,2.95,2.75,10.63,14.15
6/18/2026,QCAP,Conservative Buffer,April,24.9,3.35,740.62,14.14,302,9.18,8.46,-1.0,26.52,25.8,-3.4,-4.12,-29.91,9.18,8.46,12.1,19.1
6/18/2026,QCJA,Conservative Buffer,January,23.34,5.37,740.62,19.21,211,6.0,5.51,-5.98,27.43,26.94,-5.46,-5.95,-32.89,6.0,5.51,11.18,19.1
6/18/2026,QCJL,Conservative Buffer,July,25.02,10.77,740.62,31.96,29,0.42,0.35,-15.08,28.91,28.84,-10.47,-10.53,-39.38,0.42,0.35,11.16,19.1
6/18/2026,QCOC,Conservative Buffer,October,23.88,8.14,740.62,22.63,120,3.4,3.12,-8.34,26.69,26.41,-8.08,-8.36,-34.77,3.4,3.12,11.51,19.1
6/18/2026,QDEC,Buffer,December,35.59,9.52,740.62,20.03,183,7.54,7.13,-1.51,15.92,15.51,-9.1,-9.51,-25.02,7.54,7.13,17.32,9.1
6/18/2026,QMAG,Moderate Buffer,August,25.31,11.42,740.62,28.28,64,1.58,1.44,-11.18,22.81,22.67,-10.93,-11.07,-33.74,1.58,1.44,13.02,14.09
6/18/2026,QMAR,Buffer,March,37.2,10.59,740.62,27.24,274,9.08,8.47,-5.02,19.49,18.88,-9.78,-10.39,-29.27,9.08,8.47,19.96,9.1
6/18/2026,QMFE,Moderate Buffer,February,24.26,6.71,740.62,21.65,246,7.5,6.93,-5.46,23.56,23.0,-6.56,-7.13,-30.13,7.5,6.93,14.11,14.1
6/18/2026,QMMY,Moderate Buffer,May,26.45,1.54,740.62,4.47,337,15.83,15.01,12.65,17.04,16.22,-1.6,-2.42,-18.64,2.81,1.99,16.77,14.09
6/18/2026,QMNV,Moderate Buffer,November,25.06,10.46,740.62,25.51,155,4.87,4.52,-7.3,22.34,22.0,-9.94,-10.28,-32.28,4.87,4.52,15.45,14.1
6/18/2026,QSPT,Buffer,September,34.76,12.26,740.62,23.57,92,3.6,3.39,-5.34,15.65,15.45,-11.52,-11.72,-27.17,3.6,3.39,16.07,9.1
6/18/2026,RSDE,Buffer,December,23.22,6.3,209.96,8.86,183,7.62,7.22,5.48,11.0,10.6,-6.32,-6.72,-17.32,2.01,1.61,13.97,9.15
6/18/2026,RSMR,Buffer,March,23.47,6.94,209.96,10.23,274,9.96,9.37,6.87,11.67,11.07,-6.68,-7.28,-18.35,2.88,2.28,16.95,9.15
6/18/2026,RSSE,Buffer,September,22.93,8.94,209.96,10.97,92,4.58,4.39,3.25,10.1,9.91,-8.79,-8.99,-18.89,1.28,1.08,13.72,9.15
6/18/2026,SAUG,Moderate Buffer,August,27.71,14.59,295.59,30.14,64,1.34,1.2,-10.19,21.29,21.15,-13.39,-13.53,-34.69,1.34,1.2,15.97,14.09
6/18/2026,SFEB,Moderate Buffer,February,26.09,6.46,295.59,11.71,246,9.96,9.39,5.06,17.56,16.99,-6.34,-6.91,-23.91,4.65,4.08,16.46,14.1
6/18/2026,SMAY,Moderate Buffer,May,28.22,3.81,295.59,6.48,337,14.7,13.9,11.9,16.43,15.63,-3.75,-4.55,-20.17,2.5,1.69,18.24,14.09
6/18/2026,SNOV,Moderate Buffer,November,26.97,12.75,295.59,25.46,155,4.57,4.24,-5.61,20.49,20.15,-11.76,-12.1,-32.25,4.57,4.24,17.52,14.1
6/18/2026,TDEC,Buffer,December,26.49,11.47,70.79,31.78,183,7.04,6.61,-9.1,20.99,20.56,-10.71,-11.14,-31.7,7.04,6.61,18.84,9.05
6/18/2026,TMAR,Buffer,March,26.38,13.39,70.79,27.23,274,14.04,13.41,1.82,17.24,16.61,-12.01,-12.64,-29.26,12.0,11.37,28.6,9.05
6/18/2026,TSEP,Buffer,September,26.14,13.16,70.79,33.54,92,2.93,2.72,-12.25,20.35,20.14,-12.25,-12.47,-32.6,2.93,2.72,16.24,9.05
6/18/2026,YDEC,Moderate Buffer,December,27.51,5.48,104.41,9.38,183,6.73,6.31,3.34,16.67,16.24,-5.62,-6.05,-22.29,3.27,2.84,12.13,14.1
6/18/2026,YMAR,Moderate Buffer,March,28.54,6.05,104.41,11.56,274,9.01,8.37,3.82,17.9,17.26,-5.91,-6.55,-23.81,4.99,4.35,14.93,14.1
6/18/2026,YSEP,Moderate Buffer,September,27.58,8.62,104.41,12.27,92,3.54,3.34,0.78,15.74,15.53,-8.55,-8.76,-24.29,2.74,2.53,12.24,14.1
