Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
9/18/2026,GAUG,Moderate Buffer,August,42.02,0.03,761.69,-0.53,336,13.65,12.87,14.35,14.45,13.67,-0.09,-0.88,-14.55,-0.09,-0.88,12.91,14.15
9/18/2026,GDEC,Moderate Buffer,December,40.71,8.01,761.69,11.92,91,3.18,2.98,0.15,16.04,15.85,-8.01,-8.2,-24.05,3.02,2.83,11.24,14.15
9/18/2026,GFEB,Moderate Buffer,February,44.94,6.44,761.69,10.48,154,4.81,4.48,1.42,16.55,16.22,-6.51,-6.84,-23.06,3.34,3.0,11.21,14.15
9/18/2026,GJAN,Moderate Buffer,January,45.98,6.8,761.69,10.12,119,4.16,3.9,1.53,15.92,15.66,-6.9,-7.15,-22.81,2.58,2.32,10.97,14.15
9/18/2026,GJUL,Moderate Buffer,July,44.47,1.88,761.69,2.48,301,11.58,10.89,11.07,15.06,14.38,-1.99,-2.67,-17.05,0.44,-0.25,12.97,14.15
9/18/2026,GJUN,Moderate Buffer,June,41.87,1.76,761.69,2.0,272,11.19,10.56,11.13,14.73,14.11,-1.93,-2.56,-16.67,0.03,-0.59,12.51,14.15
9/18/2026,GMAR,Moderate Buffer,March,45.15,8.71,761.69,17.44,182,4.57,4.18,-2.84,19.22,18.83,-8.4,-8.79,-27.62,4.57,4.18,13.26,14.15
9/18/2026,GMAY,Moderate Buffer,May,43.83,2.79,761.69,3.05,245,10.46,9.9,10.47,14.51,13.96,-3.0,-3.55,-17.51,-0.03,-0.59,12.97,14.14
9/18/2026,GNOV,Moderate Buffer,November,42.77,10.45,761.69,15.58,63,1.9,1.77,-2.01,16.36,16.22,-10.1,-10.23,-26.45,1.9,1.77,12.41,14.15
9/18/2026,GOCT,Moderate Buffer,October,42.59,10.43,761.69,14.65,28,0.84,0.78,-2.18,15.7,15.64,-10.15,-10.21,-25.86,0.84,0.78,11.3,14.15
9/18/2026,GSEP,Moderate Buffer,September,42.04,10.7,761.69,14.76,0,-0.06,-0.06,-2.86,15.5,15.5,-10.43,-10.43,-25.93,-0.06,-0.06,10.63,14.15
9/18/2026,QCAP,Conservative Buffer,April,25.33,5.17,721.45,11.19,210,7.09,6.59,1.63,22.78,22.29,-5.27,-5.77,-28.05,5.37,4.87,12.1,19.1
9/18/2026,QCJA,Conservative Buffer,January,23.83,7.6,721.45,16.13,119,3.61,3.33,-3.49,23.49,23.22,-7.62,-7.89,-31.11,3.61,3.33,11.18,19.1
9/18/2026,QCJL,Conservative Buffer,July,25.79,2.64,721.45,3.76,301,13.25,12.53,12.18,20.17,19.45,-2.73,-3.45,-22.9,0.93,0.21,15.5,19.1
9/18/2026,QCOC,Conservative Buffer,October,24.48,10.85,721.45,19.46,28,0.66,0.6,-5.9,22.5,22.43,-10.54,-10.6,-33.03,0.66,0.6,11.51,19.1
9/18/2026,QDEC,Buffer,December,36.47,12.22,721.45,16.92,91,4.75,4.55,1.11,11.53,11.33,-11.49,-11.69,-23.02,3.59,3.39,17.32,9.1
9/18/2026,QJUN,Buffer,June,33.66,-0.42,721.45,-2.59,272,25.27,24.6,28.29,7.8,7.13,0.0,-0.48,-7.61,0.19,-0.48,24.07,9.1
9/18/2026,QMAG,Moderate Buffer,August,25.95,0.98,721.45,1.12,336,16.96,16.14,16.86,14.91,14.09,-1.04,-1.86,-15.95,0.08,-0.74,17.27,14.1
9/18/2026,QMAR,Buffer,March,38.14,13.39,721.45,23.95,182,6.19,5.8,-2.49,15.19,14.79,-12.2,-12.6,-27.39,6.19,5.8,19.96,9.1
9/18/2026,QMFE,Moderate Buffer,February,24.82,9.17,721.45,18.5,154,4.87,4.52,-2.95,19.39,19.05,-8.88,-9.23,-28.27,4.87,4.52,14.11,14.1
9/18/2026,QMMY,Moderate Buffer,May,26.65,2.33,721.45,1.77,245,14.71,14.12,15.65,13.9,13.31,-2.58,-3.17,-16.48,-0.85,-1.44,16.77,14.09
9/18/2026,QMNV,Moderate Buffer,November,25.71,13.29,721.45,22.27,63,2.05,1.91,-4.84,18.09,17.96,-12.39,-12.52,-30.48,2.05,1.91,15.45,14.1
9/18/2026,QSPT,Buffer,September,35.96,16.16,721.45,20.37,0,-0.07,-0.07,-2.83,10.55,10.55,-14.68,-14.68,-25.23,-0.07,-0.07,16.07,9.1
9/18/2026,RSDE,Buffer,December,23.72,8.59,212.29,10.06,91,5.15,4.95,4.32,9.73,9.54,-8.5,-8.69,-18.23,0.77,0.57,13.97,9.15
9/18/2026,RSJN,Buffer,June,37.23,0.79,212.29,1.11,272,14.16,13.54,14.01,9.99,9.37,-1.0,-1.62,-10.99,0.11,-0.52,14.43,9.15
9/18/2026,RSMR,Buffer,March,23.93,9.03,212.29,11.45,182,7.65,7.27,5.7,10.57,10.19,-8.67,-9.06,-19.25,1.83,1.44,16.95,9.15
9/18/2026,RSSE,Buffer,September,23.46,11.45,212.29,12.2,0,2.04,2.04,2.12,8.75,8.75,-11.03,-11.03,-19.78,-0.09,-0.09,13.72,9.15
9/18/2026,SAUG,Moderate Buffer,August,27.47,-2.1,284.1,-5.29,336,20.21,19.36,24.32,12.33,11.49,0.0,0.0,-10.25,2.08,1.23,16.85,14.1
9/18/2026,SFEB,Moderate Buffer,February,26.08,6.43,284.1,7.37,154,9.78,9.43,9.31,14.3,13.94,-6.53,-6.89,-20.83,0.39,0.03,16.46,14.1
9/18/2026,SMAY,Moderate Buffer,May,28.03,3.12,284.1,2.34,245,15.24,14.66,16.42,13.62,13.03,-3.33,-3.91,-16.94,-1.06,-1.64,18.24,14.09
9/18/2026,SNOV,Moderate Buffer,November,27.42,14.61,284.1,20.59,63,2.68,2.54,-1.8,16.12,15.98,-13.39,-13.53,-29.51,2.68,2.54,17.52,14.1
9/18/2026,SQBA,Buffer,Quarterly,30.7,0.23,761.69,-0.53,63,2.31,2.16,3.15,14.26,14.11,-0.3,-0.44,-14.55,-0.3,-0.44,2.4,14.79
9/18/2026,TDEC,Buffer,December,27.19,14.44,67.03,24.78,91,4.06,3.85,-4.0,14.63,14.43,-13.24,-13.44,-27.87,4.06,3.85,18.84,9.05
9/18/2026,TJUN,Buffer,June,23.02,-2.58,67.03,-5.31,272,41.99,41.27,46.34,7.36,6.63,0.0,0.0,-4.95,2.41,1.68,37.62,9.05
9/18/2026,TMAR,Buffer,March,26.78,15.12,67.03,20.47,182,12.12,11.71,7.53,11.74,11.33,-13.55,-13.96,-25.29,4.24,3.82,28.6,9.05
9/18/2026,TSEP,Buffer,September,26.89,16.4,67.03,26.45,0,-0.14,-0.14,-7.33,13.92,13.92,-14.9,-14.9,-28.82,-0.14,-0.14,16.24,9.05
9/18/2026,YDEC,Moderate Buffer,December,28.02,7.42,104.97,9.96,91,4.6,4.39,2.79,15.17,14.96,-7.53,-7.74,-22.7,1.74,1.53,12.13,14.1
9/18/2026,YJUN,Moderate Buffer,June,27.08,0.49,104.97,0.54,272,13.87,13.2,14.04,14.74,14.07,-0.71,-1.38,-15.45,-0.18,-0.84,13.76,14.1
9/18/2026,YMAR,Moderate Buffer,March,29.14,8.26,104.97,12.16,182,6.57,6.16,3.27,16.17,15.76,-8.04,-8.46,-24.22,3.19,2.77,14.93,14.1
9/18/2026,YSEP,Moderate Buffer,September,28.46,12.06,104.97,12.87,0,0.16,0.16,0.24,13.13,13.13,-11.57,-11.57,-24.69,-0.08,-0.08,12.24,14.1
