Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
9/18/2026,BGLD,Deep Buffer,Quarterly,16.86,-0.86,401.17,-1.78,73,10.58,10.39,11.65,9.24,9.06,-4.22,-4.4,-13.46,-0.97,-1.15,9.44,9.77
9/18/2026,DAPR,Deep Buffer,April,41.65,4.21,761.69,7.26,210,7.17,6.7,4.46,25.56,25.09,-9.18,-9.65,-34.74,2.58,2.11,11.19,24.15
9/18/2026,DAUG,Deep Buffer,August,47.44,-0.17,761.69,-0.53,336,13.89,13.11,14.37,24.72,23.94,-4.91,-5.69,-29.63,-0.43,-1.21,12.92,24.15
9/18/2026,DDEC,Deep Buffer,December,48.46,7.83,761.69,11.92,91,3.24,3.04,0.04,24.96,24.77,-12.49,-12.69,-37.45,3.2,3.0,11.11,24.15
9/18/2026,DFEB,Deep Buffer,February,51.55,6.19,761.69,10.48,154,4.89,4.55,1.26,25.64,25.31,-11.0,-11.33,-36.64,3.58,3.24,11.02,24.15
9/18/2026,DHDG,Buffer,Quarterly,37.63,2.02,761.69,2.48,28,2.09,2.02,1.78,12.48,12.41,-4.58,-4.64,-17.05,0.3,0.23,4.09,12.29
9/18/2026,DJAN,Deep Buffer,January,46.52,6.54,761.69,10.12,119,4.24,3.98,1.37,25.07,24.81,-11.37,-11.63,-36.44,2.83,2.57,10.78,24.15
9/18/2026,DJUL,Deep Buffer,July,51.13,1.61,761.69,2.48,301,11.65,10.96,10.86,25.04,24.35,-6.65,-7.34,-31.69,0.7,0.01,12.75,24.15
9/18/2026,DJUN,Deep Buffer,June,49.98,1.54,761.69,2.0,272,11.67,11.04,11.37,24.72,24.1,-6.65,-7.28,-31.37,0.24,-0.38,12.75,24.15
9/18/2026,DMAR,Deep Buffer,March,45.61,7.89,761.69,17.44,182,4.41,4.02,-3.72,28.06,27.66,-12.34,-12.73,-40.4,4.41,4.02,12.22,24.15
9/18/2026,DMAY,Deep Buffer,May,47.85,2.42,761.69,3.05,245,10.59,10.03,10.2,24.54,23.98,-7.53,-8.09,-32.07,0.32,-0.23,12.7,24.14
9/18/2026,DNOV,Deep Buffer,November,52.55,10.17,761.69,15.58,63,1.87,1.74,-2.29,25.03,24.9,-14.4,-14.54,-39.43,1.87,1.74,12.08,24.15
9/18/2026,DOCT,Deep Buffer,October,47.89,10.08,761.69,14.65,28,0.79,0.73,-2.54,24.53,24.47,-14.41,-14.47,-38.94,0.79,0.73,10.88,24.15
9/18/2026,DSEP,Deep Buffer,September,48.76,10.66,761.69,14.76,0,-0.07,-0.07,-2.91,24.09,24.09,-14.91,-14.91,-39.01,-0.07,-0.07,10.58,24.15
9/18/2026,FAPR,Buffer,April,47.73,5.43,761.69,7.26,210,8.88,8.42,7.37,10.6,10.13,-5.49,-5.96,-16.09,1.39,0.93,14.31,9.15
9/18/2026,FAUG,Buffer,August,57.56,0.05,761.69,-0.53,336,17.04,16.26,17.79,9.41,8.62,-0.12,-0.9,-9.52,-0.12,-0.9,16.32,9.15
9/18/2026,FDEC,Buffer,December,55.81,9.42,761.69,11.92,91,4.29,4.1,2.53,10.39,10.2,-9.19,-9.38,-19.58,1.7,1.51,13.9,9.15
9/18/2026,FFEB,Buffer,February,62.46,7.84,761.69,10.48,154,6.19,5.86,4.1,10.81,10.48,-7.72,-8.06,-18.54,1.99,1.66,14.16,9.15
9/18/2026,FHDG,Buffer,Quarterly,37.11,0.27,761.69,-0.53,63,3.55,3.4,4.44,6.68,6.53,-0.33,-0.48,-7.01,-0.33,-0.48,3.68,7.29
9/18/2026,FJAN,Buffer,January,56.45,8.01,761.69,10.12,119,5.51,5.26,4.0,10.33,10.08,-7.94,-8.2,-18.28,1.43,1.18,13.68,9.15
9/18/2026,FJUL,Buffer,July,61.12,2.13,761.69,2.48,301,14.24,13.55,14.0,9.94,9.26,-2.23,-2.92,-12.17,0.19,-0.49,15.97,9.15
9/18/2026,FJUN,Buffer,June,61.04,1.95,761.69,2.0,272,14.01,13.39,14.16,9.64,9.02,-2.12,-2.75,-11.77,-0.16,-0.78,15.6,9.15
9/18/2026,FMAR,Buffer,March,53.5,10.72,761.69,17.44,182,5.44,5.06,-0.23,13.3,12.92,-10.07,-10.45,-23.37,5.44,5.06,16.32,9.15
9/18/2026,FMAY,Buffer,May,57.28,3.08,761.69,3.05,245,13.3,12.75,13.63,9.39,8.83,-3.28,-3.83,-12.66,-0.32,-0.87,16.23,9.14
9/18/2026,FNOV,Buffer,November,60.01,12.71,761.69,15.58,63,2.85,2.72,0.9,10.23,10.1,-11.9,-12.03,-22.13,1.92,1.79,15.77,9.15
9/18/2026,FOCT,Buffer,October,53.88,12.56,761.69,14.65,28,1.55,1.5,0.39,9.64,9.59,-11.85,-11.91,-21.5,1.16,1.1,14.24,9.15
9/18/2026,FSEP,Buffer,September,57.08,13.23,761.69,14.76,0,-0.07,-0.07,-0.67,9.15,9.15,-12.43,-12.43,-21.58,-0.07,-0.07,13.15,9.15
9/18/2026,GAPR,Moderate Buffer,April,42.49,4.55,761.69,7.26,210,7.11,6.64,4.74,16.06,15.59,-4.69,-5.16,-20.75,2.25,1.78,11.49,14.15
