Date,APR_ParProx_w2p5_lin_score1p5_NAV,APR_ParProx_w2p5_sq_score1p5_NAV,APR_ParProx_w2p5_sqrt_score1p5_NAV,AUG_ParProx_w2p5_lin_score1p5_NAV,AUG_ParProx_w2p5_sq_score1p5_NAV,AUG_ParProx_w2p5_sqrt_score1p5_NAV,DEC_ParProx_w2p5_lin_score1p5_NAV,DEC_ParProx_w2p5_sq_score1p5_NAV,DEC_ParProx_w2p5_sqrt_score1p5_NAV,FEB_ParProx_w2p5_lin_score1p5_NAV,FEB_ParProx_w2p5_sq_score1p5_NAV,FEB_ParProx_w2p5_sqrt_score1p5_NAV,JAN_BUFR_NAV,JAN_ParProx_w2p5_lin_score1p5_NAV,JAN_ParProx_w2p5_sq_score1p5_NAV,JAN_ParProx_w2p5_sqrt_score1p5_NAV,JUL_ParProx_w2p5_lin_score1p5_NAV,JUL_ParProx_w2p5_sq_score1p5_NAV,JUL_ParProx_w2p5_sqrt_score1p5_NAV,JUN_ParProx_w2p5_lin_score1p5_NAV,JUN_ParProx_w2p5_sq_score1p5_NAV,JUN_ParProx_w2p5_sqrt_score1p5_NAV,MAR_ParProx_w2p5_lin_score1p5_NAV,MAR_ParProx_w2p5_sq_score1p5_NAV,MAR_ParProx_w2p5_sqrt_score1p5_NAV,MAY_ParProx_w2p5_lin_score1p5_NAV,MAY_ParProx_w2p5_sq_score1p5_NAV,MAY_ParProx_w2p5_sqrt_score1p5_NAV,NOV_ParProx_w2p5_lin_score1p5_NAV,NOV_ParProx_w2p5_sq_score1p5_NAV,NOV_ParProx_w2p5_sqrt_score1p5_NAV,OCT_ParProx_w2p5_lin_score1p5_NAV,OCT_ParProx_w2p5_sq_score1p5_NAV,OCT_ParProx_w2p5_sqrt_score1p5_NAV,SEP_ParProx_w2p5_lin_score1p5_NAV,SEP_ParProx_w2p5_sq_score1p5_NAV,SEP_ParProx_w2p5_sqrt_score1p5_NAV,APR_ParProx_w2p5_lin_score1p5_Return,APR_ParProx_w2p5_sq_score1p5_Return,APR_ParProx_w2p5_sqrt_score1p5_Return,AUG_ParProx_w2p5_lin_score1p5_Return,AUG_ParProx_w2p5_sq_score1p5_Return,AUG_ParProx_w2p5_sqrt_score1p5_Return,DEC_ParProx_w2p5_lin_score1p5_Return,DEC_ParProx_w2p5_sq_score1p5_Return,DEC_ParProx_w2p5_sqrt_score1p5_Return,FEB_ParProx_w2p5_lin_score1p5_Return,FEB_ParProx_w2p5_sq_score1p5_Return,FEB_ParProx_w2p5_sqrt_score1p5_Return,JAN_ParProx_w2p5_lin_score1p5_Return,JAN_ParProx_w2p5_sq_score1p5_Return,JAN_ParProx_w2p5_sqrt_score1p5_Return,JUL_ParProx_w2p5_lin_score1p5_Return,JUL_ParProx_w2p5_sq_score1p5_Return,JUL_ParProx_w2p5_sqrt_score1p5_Return,JUN_ParProx_w2p5_lin_score1p5_Return,JUN_ParProx_w2p5_sq_score1p5_Return,JUN_ParProx_w2p5_sqrt_score1p5_Return,MAR_ParProx_w2p5_lin_score1p5_Return,MAR_ParProx_w2p5_sq_score1p5_Return,MAR_ParProx_w2p5_sqrt_score1p5_Return,MAY_ParProx_w2p5_lin_score1p5_Return,MAY_ParProx_w2p5_sq_score1p5_Return,MAY_ParProx_w2p5_sqrt_score1p5_Return,NOV_ParProx_w2p5_lin_score1p5_Return,NOV_ParProx_w2p5_sq_score1p5_Return,NOV_ParProx_w2p5_sqrt_score1p5_Return,OCT_ParProx_w2p5_lin_score1p5_Return,OCT_ParProx_w2p5_sq_score1p5_Return,OCT_ParProx_w2p5_sqrt_score1p5_Return,SEP_ParProx_w2p5_lin_score1p5_Return,SEP_ParProx_w2p5_sq_score1p5_Return,SEP_ParProx_w2p5_sqrt_score1p5_Return
2/19/2021,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2021,,,,,,,,,,99.51551877,99.51551877,99.51551877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004844812,-0.004844812,-0.004844812,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2021,,,,,,,,,,99.58616612,99.58616612,99.58616612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000709913,0.000709913,0.000709913,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2021,,,,,,,,,,100.3547148,100.3547148,100.3547148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007717424,0.007717424,0.007717424,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2021,,,,,,,,,,98.78214602,98.78214602,98.78214602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015670103,-0.015670103,-0.015670103,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2021,,,,,,,,,,98.49246231,98.49246231,98.49246231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002932551,-0.002932551,-0.002932551,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2021,,,,,,,,,,99.87230269,99.87230269,99.87230269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014009604,0.014009604,0.014009604,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2021,,,,,,,,,,99.48477683,99.48477683,99.48477683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003880214,-0.003880214,-0.003880214,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2021,,,,,,,,,,98.69937925,98.69937925,98.69937925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007894651,-0.007894651,-0.007894651,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2021,,,,,,,,,,97.8717115,97.8717115,97.8717115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008385744,-0.008385744,-0.008385744,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2021,,,,,,,,,,99.17233225,99.17233225,99.17233225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013289037,0.013289037,0.013289037,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2021,,,,,,,,,,98.3446645,98.3446645,98.3446645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008345753,-0.008345753,-0.008345753,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2021,,,,,,,,,,99.61572569,99.61572569,99.61572569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012924557,0.012924557,0.012924557,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2021,,,,,,,,,,100.0591191,100.0591191,100.0591191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004451039,0.004451039,0.004451039,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2021,,,,,,,,,,100.6432161,100.6432161,100.6432161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005837518,0.005837518,0.005837518,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2021,,,,,,,,,,100.7676618,100.7676618,100.7676618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001236504,0.001236504,0.001236504,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2021,,,,,,,,,,101.1690807,101.1690807,101.1690807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003983608,0.003983608,0.003983608,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2021,,,,,,,,,,101.3890038,101.3890038,101.3890038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002173818,0.002173818,0.002173818,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2021,,,,,,,,,,101.5666568,101.5666568,101.5666568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001752192,0.001752192,0.001752192,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2021,,,,,,,,,,100.1959799,100.1959799,100.1959799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013495343,-0.013495343,-0.013495343,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2021,,,,,,,,,,100.4667455,100.4667455,100.4667455,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,0.00270236,0.00270236,0.00270236,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2021,,,,,,,,,,101.2119421,101.2119421,101.2119421,,,,,,,,,,,100.6756757,100.6756757,100.6756757,,,,,,,,,,,,,,,,,,,,,,0.007417346,0.007417346,0.007417346,,,,,,,,,,0.006756757,0.006756757,0.006756757,,,,,,,,,,,,
3/23/2021,,,,,,,,,,100.5320721,100.5320721,100.5320721,,,,,,,,,,,100.3716216,100.3716216,100.3716216,,,,,,,,,,,,,,,,,,,,,,-0.00671729,-0.00671729,-0.00671729,,,,,,,,,,-0.003020134,-0.003020134,-0.003020134,,,,,,,,,,,,
3/24/2021,,,,,,,,,,100.1773574,100.1773574,100.1773574,,,,,,,,,,,100.1621622,100.1621622,100.1621622,,,,,,,,,,,,,,,,,,,,,,-0.003528374,-0.003528374,-0.003528374,,,,,,,,,,-0.002086839,-0.002086839,-0.002086839,,,,,,,,,,,,
3/25/2021,,,,,,,,,,100.2955956,100.2955956,100.2955956,,,,,,,,,,,100.3378378,100.3378378,100.3378378,,,,,,,,,,,,,,,,,,,,,,0.001180289,0.001180289,0.001180289,,,,,,,,,,0.001753913,0.001753913,0.001753913,,,,,,,,,,,,
3/26/2021,,,,,,,,,,101.5929648,101.5929648,101.5929648,,,,,,,,,,,101.2834459,101.2834459,101.2834459,,,,,,,,,,,,,,,,,,,,,,0.012935455,0.012935455,0.012935455,,,,,,,,,,0.009424242,0.009424242,0.009424242,,,,,,,,,,,,
3/29/2021,,,,,,,,,,101.7735738,101.7735738,101.7735738,,,,,,,,,,,101.4864865,101.4864865,101.4864865,,,,,,,,,,,,,,,,,,,,,,0.00177777,0.00177777,0.00177777,,,,,,,,,,0.002004676,0.002004676,0.002004676,,,,,,,,,,,,
3/30/2021,,,,,,,,,,101.4770913,101.4770913,101.4770913,,,,,,,,,,,101.2162162,101.2162162,101.2162162,,,,,,,,,,,,,,,,,,,,,,-0.002913157,-0.002913157,-0.002913157,,,,,,,,,,-0.002663116,-0.002663116,-0.002663116,,,,,,,,,,,,
3/31/2021,,,,,,,,,,101.891812,101.891812,101.891812,,,,,,,,,,,101.5540541,101.5540541,101.5540541,,,,,,,,,,,,,,,,,,,,,,0.00408684,0.00408684,0.00408684,,,,,,,,,,0.003337784,0.003337784,0.003337784,,,,,,,,,,,,
4/1/2021,,,,,,,,,,102.5654744,102.5654744,102.5654744,,,,,,,,,,,102.2236486,102.2236486,102.2236486,,,,,,,,,,,,,,,,,,,,,,0.006611546,0.006611546,0.006611546,,,,,,,,,,0.00659348,0.00659348,0.00659348,,,,,,,,,,,,
4/5/2021,,,,,,,,,,103.5619273,103.5619273,103.5619273,,,,,,,,,,,103.3989865,103.3989865,103.3989865,,,,,,,,,,,,,,,,,,,,,,0.009715285,0.009715285,0.009715285,,,,,,,,,,0.01149771,0.01149771,0.01149771,,,,,,,,,,,,
4/6/2021,,,,,,,,,,103.5767071,103.5767071,103.5767071,,,,,,,,,,,103.1081081,103.1081081,103.1081081,,,,,,,,,,,,,,,,,,,,,,0.000142714,0.000142714,0.000142714,,,,,,,,,,-0.002813165,-0.002813165,-0.002813165,,,,,,,,,,,,
4/7/2021,,,,,,,,,,103.5368017,103.5368017,103.5368017,,,,,,,,,,,103.3445946,103.3445946,103.3445946,,,,,,,,,,,,,,,,,,,,,,-0.000385274,-0.000385274,-0.000385274,,,,,,,,,,0.002293578,0.002293578,0.002293578,,,,,,,,,,,,
4/8/2021,,,,,,,,,,104.0437482,104.0437482,104.0437482,,,,,,,,,,,103.5847973,103.5847973,103.5847973,,,,,,,,,,,,,,,,,,,,,,0.004896293,0.004896293,0.004896293,,,,,,,,,,0.002324289,0.002324289,0.002324289,,,,,,,,,,,,
4/9/2021,,,,,,,,,,104.3009163,104.3009163,104.3009163,,,,,,,,,,,104.0489865,104.0489865,104.0489865,,,,,,,,,,,,,,,,,,,,,,0.002471731,0.002471731,0.002471731,,,,,,,,,,0.004481248,0.004481248,0.004481248,,,,,,,,,,,,
4/12/2021,,,,,,,,,,104.5521726,104.5521726,104.5521726,,,,,,,,,,,104.0540541,104.0540541,104.0540541,,,,,,,,,,,,,,,,,,,,,,0.002408956,0.002408956,0.002408956,,,,,,,,,,4.87E-05,4.87E-05,4.87E-05,,,,,,,,,,,,
4/13/2021,,,,,,,,,,104.5084245,104.5084245,104.5084245,,,,,,,,,,,104.1554054,104.1554054,104.1554054,,,,,,,,,,,,,,,,,,,,,,-0.000418434,-0.000418434,-0.000418434,,,,,,,,,,0.000974026,0.000974026,0.000974026,,,,,,,,,,,,
4/14/2021,,,,,,,,,,104.2450488,104.2450488,104.2450488,,,,,,,,,,,103.9084459,103.9084459,103.9084459,,,,,,,,,,,,,,,,,,,,,,-0.002520138,-0.002520138,-0.002520138,,,,,,,,,,-0.002371067,-0.002371067,-0.002371067,,,,,,,,,,,,
4/15/2021,,,,,,,,,,105.1729234,105.1729234,105.1729234,,,,,,,,,,,104.4878378,104.4878378,104.4878378,,,,,,,,,,,,,,,,,,,,,,0.008900899,0.008900899,0.008900899,,,,,,,,,,0.005575985,0.005575985,0.005575985,,,,,,,,,,,,
4/16/2021,100,100,100,,,,,,,105.2911617,105.2911617,105.2911617,,,,,,,,,,,104.7635135,104.7635135,104.7635135,,,,,,,,,,,,,,,,,,,,,,0.001124227,0.001124227,0.001124227,,,,,,,,,,0.002638352,0.002638352,0.002638352,,,,,,,,,,,,
