regime,regime_code,ecr_avg,existing_avg,bufr_avg,ecr_vs_existing,ecr_vs_bufr,ecr_wins_existing,total_months,ecr_wins_bufr,days
Bullish,1,7.135294600401855,8.624089843670552,9.19582745005858,-1.4887952432686964,-2.060532849656725,1,12,0,4440
Neutral,0,26.320891481395265,26.17623505551629,25.20669347685846,0.1446564258789742,1.114198004536803,10,12,12,6828
Bearish,-1,7.221279570544908,11.52781806955699,10.198348735252182,-4.306538499012081,-2.977069164707274,0,12,0,2268
