Date,APR_ECR_Regime_Adaptive_NAV,APR_ECR_V2_cap_moderate_NAV,APR_Existing_90_NAV,AUG_ECR_Regime_Adaptive_NAV,AUG_ECR_V2_cap_moderate_NAV,AUG_Existing_90_NAV,BUFR_NAV,DEC_ECR_Regime_Adaptive_NAV,DEC_ECR_V2_cap_moderate_NAV,DEC_Existing_90_NAV,FEB_ECR_Regime_Adaptive_NAV,FEB_ECR_V2_cap_moderate_NAV,FEB_Existing_90_NAV,JAN_ECR_Regime_Adaptive_NAV,JAN_ECR_V2_cap_moderate_NAV,JAN_Existing_90_NAV,JUL_ECR_Regime_Adaptive_NAV,JUL_ECR_V2_cap_moderate_NAV,JUL_Existing_90_NAV,JUN_ECR_Regime_Adaptive_NAV,JUN_ECR_V2_cap_moderate_NAV,JUN_Existing_90_NAV,MAR_ECR_Regime_Adaptive_NAV,MAR_ECR_V2_cap_moderate_NAV,MAR_Existing_90_NAV,MAY_ECR_Regime_Adaptive_NAV,MAY_ECR_V2_cap_moderate_NAV,MAY_Existing_90_NAV,NOV_ECR_Regime_Adaptive_NAV,NOV_ECR_V2_cap_moderate_NAV,NOV_Existing_90_NAV,OCT_ECR_Regime_Adaptive_NAV,OCT_ECR_V2_cap_moderate_NAV,OCT_Existing_90_NAV,SEP_ECR_Regime_Adaptive_NAV,SEP_ECR_V2_cap_moderate_NAV,SEP_Existing_90_NAV,SPY_NAV,APR_ECR_Regime_Adaptive_Return,APR_ECR_V2_cap_moderate_Return,APR_Existing_90_Return,AUG_ECR_Regime_Adaptive_Return,AUG_ECR_V2_cap_moderate_Return,AUG_Existing_90_Return,BUFR_Return,DEC_ECR_Regime_Adaptive_Return,DEC_ECR_V2_cap_moderate_Return,DEC_Existing_90_Return,FEB_ECR_Regime_Adaptive_Return,FEB_ECR_V2_cap_moderate_Return,FEB_Existing_90_Return,JAN_ECR_Regime_Adaptive_Return,JAN_ECR_V2_cap_moderate_Return,JAN_Existing_90_Return,JUL_ECR_Regime_Adaptive_Return,JUL_ECR_V2_cap_moderate_Return,JUL_Existing_90_Return,JUN_ECR_Regime_Adaptive_Return,JUN_ECR_V2_cap_moderate_Return,JUN_Existing_90_Return,MAR_ECR_Regime_Adaptive_Return,MAR_ECR_V2_cap_moderate_Return,MAR_Existing_90_Return,MAY_ECR_Regime_Adaptive_Return,MAY_ECR_V2_cap_moderate_Return,MAY_Existing_90_Return,NOV_ECR_Regime_Adaptive_Return,NOV_ECR_V2_cap_moderate_Return,NOV_Existing_90_Return,OCT_ECR_Regime_Adaptive_Return,OCT_ECR_V2_cap_moderate_Return,OCT_Existing_90_Return,SEP_ECR_Regime_Adaptive_Return,SEP_ECR_V2_cap_moderate_Return,SEP_Existing_90_Return,SPY_Return
2021-06-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,101.12396694214875,101.12396694214875,101.12396694214875,100.38147138964577,101.06075216972035,101.12396694214875,100.35398230088495,100.38147138964577,101.06075216972035,100.76266015863331,100.38147138964577,101.06075216972035,101.14685314685315,100.38147138964577,101.06075216972035,100.92908021059152,100.38147138964577,101.06075216972035,101.06075216972035,100.76292738061599,100.76292738061599,100.76292738061599,100.38147138964577,101.06075216972035,101.06075216972035,100.3367948358125,100.3367948358125,100.3367948358125,100.38147138964577,101.06075216972035,100.42746460058778,100.38147138964577,101.06075216972035,100.6246281975015,100.38147138964577,101.06075216972035,100.3367948358125,101.43160127253445,0.011239669421487575,0.011239669421487575,0.011239669421487575,0.003814713896457711,0.01060752169720347,0.011239669421487575,0.003539823008849474,0.003814713896457711,0.01060752169720347,0.007626601586333104,0.003814713896457711,0.01060752169720347,0.01146853146853144,0.003814713896457711,0.01060752169720347,0.009290802105915263,0.003814713896457711,0.01060752169720347,0.01060752169720347,0.007629273806159853,0.007629273806159853,0.007629273806159853,0.003814713896457711,0.01060752169720347,0.01060752169720347,0.003367948358125039,0.003367948358125039,0.003367948358125039,0.003814713896457711,0.01060752169720347,0.004274646005877791,0.003814713896457711,0.01060752169720347,0.006246281975014867,0.003814713896457711,0.01060752169720347,0.003367948358125039,0.014316012725344551
2021-06-22,101.35537190082647,102.03141701005363,101.35537190082647,100.61117727383262,101.967634971019,101.35537190082644,100.84070796460176,100.61117727383262,101.96763497101901,100.9456985967053,100.61117727383262,101.96763497101901,101.23076923076924,100.61117727383262,101.96763497101901,101.17683493341592,100.61117727383262,101.96763497101901,101.31790421086467,100.99350616180736,101.66713760949419,101.66713760949419,100.61117727383262,101.96763497101901,101.31790421086468,100.56639848532238,101.23718110467004,101.34717934325006,100.61117727383262,101.96763497101901,100.80149612610205,100.61117727383262,101.967634971019,100.83283759666865,100.6111772738326,101.96763497101901,101.34717934325006,101.97387448182782,0.0022883295194511266,0.008973639932697841,0.0022883295194511266,0.0022883295194511266,0.008973639932697619,0.0022883295194509046,0.004850088183421475,0.0022883295194511266,0.008973639932697619,0.0018165304268846771,0.0022883295194511266,0.008973639932697619,0.0008296460176993037,0.0022883295194511266,0.008973639932697619,0.00245474071801155,0.0022883295194511266,0.008973639932697619,0.0025445292620864812,0.0022883295194511266,0.008973639932697619,0.008973639932697619,0.0022883295194511266,0.008973639932697619,0.0025445292620867033,0.0022883295194509046,0.008973639932697619,0.010069930069930288,0.0022883295194511266,0.008973639932697619,0.003724394785846963,0.0022883295194511266,0.008973639932697619,0.0020691693762933117,0.0022883295194506825,0.008973639932697619,0.010069930069930288,0.005346195884617266
2021-06-23,100.69421487603307,102.05977482467567,100.69421487603307,99.95487474758453,101.99597505855962,100.69421487603304,100.79292035398228,99.95487474758451,101.99597505855962,100.97620500305062,99.95487474758453,101.99597505855962,101.42657342657341,99.95487474758453,101.99597505855962,101.23877361412201,99.95487474758453,101.99597505855962,101.3500482160077,100.3347096441178,101.69539417914666,101.69539417914666,99.95487474758453,101.99597505855962,101.35004821600772,99.91038805815134,101.26531817557188,100.70165590794274,99.95487474758453,101.99597505855962,100.69462997595512,99.95487474758453,101.99597505855962,100.86258179654968,99.95487474758451,101.99597505855962,100.70165590794275,101.85095922105467,-0.006523157208088826,0.0002779321845471916,-0.006523157208088826,-0.006523157208088715,0.00027793218454741364,-0.006523157208088826,-0.00047389205792025546,-0.006523157208088937,0.0002779321845471916,0.0003022061045632185,-0.006523157208088715,0.0002779321845471916,0.0019342359767888784,-0.006523157208088715,0.0002779321845471916,0.0006121824303642054,-0.006523157208088715,0.0002779321845471916,0.00031725888324873885,-0.006523157208088937,0.0002779321845471916,0.0002779321845471916,-0.006523157208088715,0.0002779321845471916,0.00031725888324873885,-0.0065231572080886036,0.00027793218454741364,-0.006369426751592355,-0.006523157208088715,0.0002779321845471916,-0.001060164325470292,-0.006523157208088715,0.00027793218454741364,0.0002949852507374562,-0.0065231572080886036,0.0002779321845471916,-0.006369426751592244,-0.00120536030819407
2021-06-24,101.71900826446283,101.80455449307743,101.71900826446283,100.97214366326905,101.74091427069436,101.7190082644628,101.21681415929203,100.97214366326905,101.74091427069436,101.25076266015863,100.97214366326905,101.74091427069436,101.79020979020976,100.97214366326905,101.74091427069436,101.48652833694645,100.97214366326908,101.74091427069436,101.63934426229508,101.35584424653659,101.44108505227464,101.44108505227464,100.97214366326908,101.74091427069439,101.63934426229511,100.92720422026646,101.01208453745568,101.71204041538029,100.97214366326905,101.74091427069436,101.01522842639596,100.97214366326905,101.74091427069436,101.04104699583583,100.97214366326905,101.74091427069436,101.71204041538029,102.45348500915841,0.010177281680892936,-0.0025006946373992145,0.010177281680892936,0.010177281680892714,-0.0025006946373994365,0.010177281680892936,0.004205591065533643,0.010177281680892936,-0.0025006946373994365,0.002719033232628565,0.010177281680892714,-0.0025006946373994365,0.0035852178709319116,0.010177281680892714,-0.0025006946373994365,0.002447231569287611,0.010177281680893158,-0.0025006946373994365,0.0028544243577546258,0.010177281680892936,-0.0025006946373994365,-0.0025006946373994365,0.010177281680893158,-0.0025006946373991035,0.002854424357754848,0.010177281680892936,-0.0025006946373994365,0.010033444816053505,0.010177281680892714,-0.0025006946373994365,0.0031838684001062045,0.010177281680892714,-0.0025006946373994365,0.0017693895606016863,0.010177281680892936,-0.0025006946373994365,0.010033444816053283,0.005915759583530633
2021-06-25,101.88429752066116,102.6269311171162,101.88429752066116,101.13621929483108,102.56277680937127,101.88429752066116,101.31946902654867,101.13621929483108,102.56277680937127,101.43380109823062,101.13621929483108,102.56277680937127,101.76223776223776,101.13621929483108,102.56277680937127,101.61040569835865,101.1362192948311,102.56277680937127,101.76792028286725,101.52054337595897,102.26052557219553,102.26052557219553,101.1362192948311,102.56277680937127,101.76792028286725,101.09120682705924,101.8280595936078,101.88043783328655,101.13621929483108,102.56277680937127,101.1220945765429,101.13621929483108,102.56277680937127,101.13027959547891,101.13621929483105,102.56277680937127,101.88043783328655,102.81741058517306,0.001624959376015589,0.00807799442896906,0.001624959376015589,0.001624959376015589,0.008077994428969282,0.001624959376015811,0.0010142076502732689,0.001624959376015589,0.008077994428969282,0.0018077734257306854,0.001624959376015589,0.008077994428969282,-0.00027480076944186305,0.001624959376015589,0.008077994428969282,0.0012206286237412822,0.001624959376015589,0.008077994428969282,0.0012650221378873727,0.0016249593760153669,0.008077994428969504,0.008077994428969504,0.001624959376015589,0.00807799442896906,0.0012650221378871507,0.001624959376015811,0.00807799442896906,0.0016556291390728006,0.001624959376015589,0.008077994428969282,0.0010579211848718018,0.001624959376015589,0.008077994428969282,0.0008831321754489974,0.0016249593760153669,0.008077994428969282,0.0016556291390728006,0.0035521053869678187
2021-06-28,101.98347107438018,102.71200456098228,101.98347107438018,101.2346646737683,102.64779707199301,101.98347107438018,100.97345132743362,101.2346646737683,102.64779707199301,101.46430750457594,101.2346646737683,102.64779707199301,102.01398601398598,101.2346646737683,102.64779707199303,101.67234437906474,101.23466467376832,102.64779707199303,101.83220829315334,101.61936285361242,102.34529528115289,102.34529528115289,101.23466467376832,102.64779707199303,101.83220829315336,101.18960839113488,101.91247080631321,101.96463654223969,101.23466467376826,102.64779707199301,101.17552765161636,101.2346646737683,102.64779707199303,101.21411237768018,101.23466467376826,102.64779707199303,101.96463654223966,103.02467945628075,0.0009733939000649006,0.000828958275766789,0.0009733939000649006,0.0009733939000649006,0.000828958275766789,0.0009733939000649006,-0.0034151155986060777,0.0009733939000649006,0.000828958275766789,0.00030075187969913486,0.0009733939000649006,0.000828958275766789,0.002473886750961718,0.0009733939000649006,0.000828958275766789,0.0006095702529715918,0.0009733939000651226,0.000828958275766789,0.0006317119393557391,0.0009733939000651226,0.0008289582757670111,0.0008289582757670111,0.0009733939000651226,0.000828958275766789,0.0006317119393559611,0.0009733939000646785,0.000828958275766789,0.0008264462809919326,0.0009733939000646785,0.000828958275766789,0.0005284015852047297,0.0009733939000649006,0.000828958275766789,0.000828958275766567,0.0009733939000649006,0.000828958275766789,0.0008264462809914885,0.002015892735754088
2021-06-29,101.98347107438018,102.0881326392977,101.98347107438018,101.2346646737683,102.02431514610018,101.98347107438018,101.37168141592919,101.2346646737683,102.02431514610018,101.40329469188526,101.2346646737683,102.0243151461002,102.01398601398598,101.2346646737683,102.0243151461002,101.67234437906474,101.23466467376832,102.02431514610018,101.83220829315334,101.61936285361242,101.7236507487991,101.7236507487991,101.23466467376832,102.0243151461002,101.83220829315336,101.18960839113488,101.29345524647366,101.93657030592196,101.23466467376826,102.02431514610018,101.14881111407965,101.2346646737683,102.0243151461002,100.59933864153747,101.23466467376826,102.0243151461002,101.93657030592196,103.08011182878631,0.0,-0.006073992269464257,0.0,0.0,-0.006073992269464368,0.0,0.003943908851884226,0.0,-0.006073992269464368,-0.000601322910403046,0.0,-0.006073992269464257,0.0,0.0,-0.006073992269464368,0.0,0.0,-0.006073992269464479,0.0,0.0,-0.006073992269464479,-0.006073992269464479,0.0,-0.006073992269464368,0.0,0.0,-0.006073992269464257,-0.00027525461051491895,0.0,-0.006073992269464368,-0.0002640612622126781,0.0,-0.006073992269464368,-0.006073992269464146,0.0,-0.006073992269464368,-0.0002752546105145859,0.000538049453763012
2021-06-30,102.08264462809917,102.68364674636025,102.08264462809917,101.33311005270549,102.61945698445243,102.08264462809917,101.50398230088493,101.33311005270549,102.61945698445243,101.43380109823059,101.33311005270549,102.61945698445246,102.1258741258741,101.3331100527055,102.61945698445246,101.73428305977083,101.3331100527055,102.61945698445243,101.92864030858246,101.71818233126584,102.31703871150044,102.31703871150044,101.3331100527055,102.61945698445246,101.92864030858249,101.28800995521053,101.88433373541142,102.0488352511928,101.33311005270549,102.61945698445246,101.17552765161636,101.33311005270549,102.61945698445246,101.18616811694643,101.33311005270549,102.61945698445246,102.0488352511928,103.16687554227326,0.0009724473257697319,0.005833333333333135,0.0009724473257697319,0.0009724473257697319,0.005833333333333357,0.0009724473257697319,0.0013051069402005844,0.0009724473257697319,0.005833333333333357,0.0003008423586039477,0.0009724473257697319,0.005833333333333357,0.0010967918837401225,0.000972447325769954,0.005833333333333357,0.0006091989034417988,0.0009724473257695099,0.005833333333333357,0.0009469696969697239,0.0009724473257697319,0.005833333333333579,0.005833333333333579,0.0009724473257695099,0.005833333333333357,0.0009469696969697239,0.0009724473257697319,0.005833333333333357,0.0011013215859030367,0.000972447325769954,0.005833333333333579,0.00026413100898015074,0.0009724473257697319,0.005833333333333357,0.005833333333333357,0.000972447325769954,0.005833333333333357,0.0011013215859030367,0.0008417114800094438
2021-07-01,102.2809917355372,102.5985733024942,102.2809917355372,101.53000081057992,102.53443672183069,102.2809917355372,101.46017699115042,101.5300008105799,102.53443672183067,101.55582672361191,101.53000081057992,102.53443672183069,102.3216783216783,101.53000081057995,102.53443672183069,101.85816042118303,101.53000081057992,102.53443672183069,102.08936033429768,101.91582128657271,102.23226900254309,102.23226900254309,101.53000081057995,102.53443672183069,102.0893603342977,101.48481308336184,101.79992252270603,102.21723266909906,101.53000081057992,102.53443672183069,101.25567726422658,101.53000081057992,102.53443672183069,101.10233533474515,101.53000081057992,102.53443672183069,102.21723266909908,103.73806998939558,0.0019430051813471572,-0.0008285004142498664,0.0019430051813471572,0.0019430051813471572,-0.0008285004142500885,0.0019430051813471572,-0.0004315624741171309,0.0019430051813469351,-0.0008285004142501995,0.0012030075187969835,0.0019430051813471572,-0.0008285004142504215,0.0019172829361819854,0.0019430051813473792,-0.0008285004142504215,0.0012176560121766045,0.0019430051813469351,-0.0008285004142500885,0.0015767896562599582,0.0019430051813471572,-0.0008285004142504215,-0.0008285004142504215,0.0019430051813473792,-0.0008285004142504215,0.0015767896562599582,0.0019430051813471572,-0.0008285004142501995,0.0016501650165017256,0.0019430051813471572,-0.0008285004142504215,0.0007921837866384784,0.0019430051813471572,-0.0008285004142504215,-0.0008285004142501995,0.0019430051813471572,-0.0008285004142504215,0.0016501650165017256,0.00553660701770764
