Date,BUFR_NAV,SEP_ECR_Pct_111_p80_h63_NAV,SEP_ECR_Pct_111_p90_h63_NAV,SEP_ECR_Pct_112_p80_h63_NAV,SEP_ECR_Pct_112_p90_h63_NAV,SEP_ECR_Pct_121_p80_h63_NAV,SEP_ECR_Pct_121_p90_h63_NAV,SEP_ECR_Pct_211_p80_h63_NAV,SEP_ECR_Pct_211_p90_h63_NAV,SEP_Existing_90_NAV,SPY_NAV,BUFR_Return,SEP_ECR_Pct_111_p80_h63_Return,SEP_ECR_Pct_111_p90_h63_Return,SEP_ECR_Pct_112_p80_h63_Return,SEP_ECR_Pct_112_p90_h63_Return,SEP_ECR_Pct_121_p80_h63_Return,SEP_ECR_Pct_121_p90_h63_Return,SEP_ECR_Pct_211_p80_h63_Return,SEP_ECR_Pct_211_p90_h63_Return,SEP_Existing_90_Return,SPY_Return
2021-01-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,
2021-01-20,100.16214964095435,100.58980271902762,100.58980271902762,100.58980271902762,100.58980271902762,100.58980271902762,100.58980271902762,100.58980271902762,100.58980271902762,100.58980271902762,101.38386372639641,0.0016214964095435658,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.005898027190276212,0.01383863726396406
2021-01-21,100.40352096363215,100.4642996247272,100.4642996247272,100.4642996247272,100.4642996247272,100.4642996247272,100.4642996247272,100.4642996247272,100.4642996247272,100.4642996247272,101.47629737224351,0.0024098057354302593,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,-0.001247672138804945,0.000911719502982633
2021-01-22,100.37016446606437,100.43493313714458,100.43493313714458,100.43493313714458,100.43493313714458,100.43493313714458,100.43493313714458,100.43493313714458,100.43493313714458,100.43493313714458,101.11712663409482,-0.0003322243806556102,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.00029230769230781384,-0.0035394545075995154
2021-01-25,100.1760481816076,100.20401980846867,100.20401980846867,100.20401980846867,100.20401980846867,100.20401980846867,100.20401980846867,100.20401980846867,100.20401980846867,100.20401980846867,101.51591179189225,-0.0019340038495443412,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,-0.002299133592896352,0.003943794400334211
2021-01-26,100.27982395181839,100.25286091413241,100.25286091413241,100.25286091413241,100.25286091413241,100.25286091413241,100.25286091413241,100.25286091413241,100.25286091413241,100.25286091413241,101.35745411329724,0.0010359339592100891,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,0.00048741663016205194,-0.001560914696011939
2021-01-27,98.63331016909889,98.63986794354217,98.63986794354217,98.63986794354217,98.63986794354217,98.63986794354217,98.63986794354217,98.63986794354217,98.63986794354217,98.63986794354217,98.88023240459528,-0.016419192992506604,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.01608924629065489,-0.024440449203991688
2021-01-28,99.55987954598098,99.27232934979509,99.27232934979509,99.27232934979509,99.27232934979509,99.27232934979509,99.27232934979509,99.27232934979509,99.27232934979509,99.27232934979509,99.73062194638847,0.009394081728510972,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.0064118233270031855,0.008600197644293539
2021-01-29,98.8186240444753,98.43893934429272,98.43893934429272,98.43893934429272,98.43893934429272,98.43893934429272,98.43893934429272,98.43893934429272,98.43893934429272,98.43893934429272,97.73405519609136,-0.007445323406235493,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.008394987918192598,-0.02001959590074942
2021-02-01,99.51355107713688,99.23245275086711,99.23245275086711,99.23245275086711,99.23245275086711,99.23245275086711,99.23245275086711,99.23245275086711,99.23245275086711,99.23245275086711,99.36088736300012,0.007032348804500765,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.008060970707933546,0.01664549950009464
