regime,regime_code,ecr_avg,existing_avg,bufr_avg,ecr_vs_existing,ecr_vs_bufr,ecr_wins_existing,total_months,ecr_wins_bufr,days
Bullish,1,7.667768126690581,8.624089843670552,9.19582745005858,-0.9563217169799705,-1.5280593233679989,3,12,0,4440
Neutral,0,30.331464574742323,26.17623505551629,25.20669347685846,4.155229519226033,5.124771097883862,11,12,12,6828
Bearish,-1,9.09113856622631,11.52781806955699,10.198348735252182,-2.43667950333068,-1.1072101690258727,0,12,0,2268
